 	non	li	aspettiamo	più	</S>
e	0.9892559	0.0065038013	0.0003451237	0.0012719473	0.00262315
t	0.34053925	0.6570843	0.0023214687	5.8613105e-06	4.911131e-05
u	0.06120425	0.03608854	0.5700604	0.2946286	0.03801826
s	0.005956642	0.9491547	0.034144595	0.0019824526	0.008761651
m	0.026331346	0.074593104	0.82617724	0.022558702	0.050339706
è	0.0016838002	0.032496333	0.008372909	0.031535126	0.9259119
n	0.5350764	0.03559953	0.27967954	0.027899329	0.12174525
u	0.4293719	0.16184777	0.30204013	0.0193309	0.0874093
m	0.0053782524	0.090571135	0.353418	0.1972203	0.35341227
e	0.050655913	0.09431767	0.12308829	0.4853935	0.24654463
p	0.0003212307	0.0037771713	0.017885791	0.84930575	0.12871005
l	0.012441845	0.026669888	0.07841011	0.738718	0.1437601
è	0.0009576146	0.0065432847	0.0021919096	0.7547988	0.23550838
o	0.0035719126	0.0056595043	0.036324464	0.516098	0.43834603
</S>	0.00015206168	0.0017154366	0.0057111625	0.85988057	0.13254072
