 	non	so	cosa	stai	scrivendo	</S>
e	0.98755497	0.0057955952	0.0022061106	0.0027722123	0.00044028435	0.0012308611
n	0.9046428	0.094730645	0.00044490251	0.00017713479	1.3830146e-07	4.273097e-06
e	0.3335917	0.34772334	0.110111676	0.016554082	0.030671824	0.1613474
t	0.5275859	0.4550439	0.015474816	0.00052110374	0.00012604357	0.0012481944
s	0.12991075	0.69312817	0.10474006	0.009219859	0.005831694	0.05716942
è	0.092075184	0.23673387	0.09624531	0.121870145	0.061433174	0.39164227
r	0.047622673	0.07976179	0.6560757	0.1995279	0.003793665	0.013218361
o	0.35995066	0.4805206	0.057827268	0.018969992	0.010465445	0.072266065
e	7.9430065e-05	0.054272477	0.90246046	0.03907441	0.0025959325	0.0015173098
s	0.00017725749	0.030602286	0.3847696	0.5830679	0.00019740842	0.0011855641
ù	0.0158052	0.06769945	0.2543416	0.26651937	0.08985928	0.30577514
t	0.0017833697	0.027279155	0.70651054	0.24819472	0.0110889515	0.0051433174
i	0.025235021	0.07691071	0.33863828	0.22904652	0.06577463	0.26439485
s	2.9056806e-05	0.00035197102	0.009028508	0.8261758	0.15627344	0.008141338
t	0.015727723	0.028294124	0.061016265	0.28704524	0.42860648	0.17931013
e	0.00078422483	0.0034178123	0.026652077	0.07356117	0.5637181	0.33186656
g	1.0306074e-05	5.2450585e-05	0.0006303069	0.020524234	0.87256944	0.106213264
r	0.029643672	0.0470365	0.12879723	0.46529913	0.15453172	0.17469177
à	0.011055956	0.018247593	0.046005987	0.20358679	0.2500329	0.47107074
f	0.0073646153	0.0028410864	0.014489712	0.014861887	0.894144	0.066298574
i	0.016393065	0.017112399	0.019693123	0.025142984	0.88429105	0.037367348
</S>	1.9987527e-05	3.8817623e-05	0.000114380266	0.00070709747	0.6530761	0.3460436
