 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.956635	0.0039113164	0.0051739416	0.008345434	0.0025603953	0.017854076	0.001990877	0.0035289677
u	0.9800772	0.019827086	6.730111e-06	4.7549233e-06	8.9280354e-07	4.575173e-06	8.892554e-06	6.9857095e-05
à	0.8891546	0.11072009	1.8586428e-05	4.090171e-05	2.4670873e-05	1.15453095e-05	2.9741602e-06	2.6628122e-05
i	0.39364022	0.56377983	0.009161629	0.0106525	0.014557027	0.007571171	0.00022033436	0.00041727346
m	0.008717405	0.8754546	0.091273375	0.01192575	0.0086564645	0.00219859	0.00012732031	0.0016465124
è	0.09055337	0.19278955	0.20448877	0.06091921	0.01769849	0.03602212	0.035326418	0.3622021
r	0.11686188	0.36222756	0.14743248	0.25528413	0.054658093	0.04227269	0.0053175194	0.015945641
i	0.07801899	0.090025984	0.49823356	0.0810271	0.018559039	0.11200621	0.025243975	0.09688513
n	6.398909e-05	0.0014565156	0.69511	0.28306013	0.010251655	0.004995367	0.001285899	0.0037764462
g	0.012039047	0.004492851	0.54488575	0.3810522	0.01633791	0.012653876	0.0050402484	0.023498151
h	0.025529176	0.0024614667	0.6024676	0.15580897	0.0066604875	0.00083411415	0.0037135894	0.20252454
ì	0.09312344	0.025863687	0.2115262	0.2520305	0.034182195	0.04519004	0.007876672	0.33020732
z	0.011110815	0.099004686	0.35257638	0.2610102	0.17540516	0.08234818	0.004281828	0.014262699
i	0.04389126	0.04647117	0.3658053	0.3896575	0.056382958	0.029437859	0.035540808	0.032813147
n	1.601713e-05	0.00023858991	0.038025416	0.6420542	0.28638384	0.020148225	0.006723833	0.0064098896
a	0.007271661	0.0024023626	0.17316695	0.4460488	0.2993609	0.05510459	0.0053200405	0.011324644
v	7.428692e-05	0.0008789631	0.009545524	0.18829182	0.5747143	0.15751466	0.011353516	0.057626992
o	0.00859802	0.004504059	0.087547824	0.22794627	0.4856379	0.15633473	0.017306821	0.012124377
r	5.156916e-05	0.0008412532	0.0014846326	0.030235033	0.33350155	0.5409002	0.046537727	0.04644803
à	0.045860905	0.05230639	0.08826641	0.15697089	0.34003997	0.17726135	0.11109385	0.028200306
s	0.0025686389	0.045627166	0.013481848	0.027273014	0.2480433	0.20060633	0.36520937	0.09719037
o	0.041071583	0.045027267	0.07240179	0.09220339	0.21721101	0.10220549	0.40998214	0.019897323
m	6.6191064e-06	6.1593244e-05	4.4049153e-05	0.0005788065	0.005052202	0.12102722	0.7764028	0.096826755
e	0.009464447	0.008301966	0.035225876	0.05917403	0.25546896	0.19467942	0.39187822	0.045807038
o	1.5326794e-05	8.9023546e-05	2.531597e-05	0.00014451834	0.0011298856	0.055742864	0.8356659	0.10718723
t	2.8210074e-05	0.00024810628	2.9763853e-05	9.109016e-05	0.0011606931	0.024255963	0.8219804	0.15220575
s	7.505652e-05	0.00022508661	0.000111376015	0.0002478953	0.0018946675	0.009166453	0.9728631	0.015416471
o	2.7327069e-05	5.366621e-05	2.864576e-05	7.9363606e-05	0.00013823726	0.0021764685	0.62002325	0.37747306
m	9.703998e-06	5.428025e-05	5.173871e-06	2.7687705e-05	0.0001750698	0.0126548745	0.5711674	0.4159058
ì	0.0012038444	0.0017382624	0.0010834946	0.0016997462	0.003965756	0.011679211	0.8543476	0.124282114
</S>	0.0073263645	0.023020834	0.0034556424	0.0027358434	0.0068026884	0.017645461	0.55872875	0.38028443
