 	era	molto	stanco	</S>
ì	0.8648112	0.035505034	0.04414673	0.055537134
o	0.9999125	5.0441853e-05	5.415518e-07	3.6525413e-05
n	0.86111814	0.12349695	0.0023142246	0.013070744
e	0.17476147	0.12585412	0.053072054	0.64631236
p	0.03263435	0.43940824	0.040667735	0.48728967
o	0.022509618	0.09841715	0.4964375	0.38263574
d	9.2356524e-05	0.5006008	0.4089184	0.09038842
d	0.0062725157	0.33242628	0.6443748	0.016926445
h	0.0029996021	0.35648057	0.5074824	0.13303739
ì	0.047909968	0.096362576	0.56570274	0.29002467
s	0.00097365683	0.03153257	0.9262041	0.04128975
t	0.03987537	0.06738355	0.8808211	0.011919934
r	0.0010016072	0.10699528	0.83252585	0.05947726
à	0.0008648452	0.046173885	0.8988462	0.054115057
k	7.961321e-05	0.0030629428	0.78979653	0.20706092
k	0.0071683214	0.025948908	0.90802026	0.05886258
o	0.04429199	0.054379042	0.5388848	0.36244416
</S>	0.00012733172	0.0003593185	0.33743024	0.6620831
