 	forse	non	li	ha	a	casa	</S>
f	0.9766467	0.004943036	0.010498378	0.001195045	0.0045172735	0.0009848793	0.0012146515
ò	0.32226238	0.4201177	0.20573527	0.025600255	0.008831073	0.0113339815	0.0061194566
r	0.59211314	0.24024303	0.15743679	0.008978121	0.0005862342	0.00032478292	0.00031798478
s	0.02259522	0.48648965	0.363675	0.03792149	0.045422636	0.01467034	0.029225713
i	0.08266846	0.120458856	0.13521335	0.22760272	0.213151	0.057214312	0.16369137
e	0.00017668043	0.6786591	0.31099972	0.010013759	0.00010967649	3.635431e-05	4.7225353e-06
t	0.00021624724	0.39042956	0.55882627	0.04903928	0.00039261044	0.0005979975	0.0004979363
u	0.0064677284	0.10181437	0.36427984	0.20367767	0.13100207	0.061211504	0.13154677
s	5.5606797e-05	0.11359956	0.7509823	0.11006395	0.0033361076	0.0100783715	0.01188413
è	0.02469437	0.12698536	0.35397333	0.2809773	0.0725322	0.037040636	0.10379683
c	0.0016310116	0.020836908	0.13352597	0.8099826	0.029067053	0.0024359548	0.0025205002
h	0.0043718964	0.05392514	0.12516393	0.46625203	0.24383156	0.042659752	0.06379559
i	0.032329563	0.055925835	0.09508664	0.39920473	0.08453583	0.033623636	0.29929373
è	0.001657293	0.0009940842	0.012437743	0.1598698	0.76978254	0.030377548	0.024881003
s	0.0043597105	0.00053478143	0.00519753	0.101014994	0.1317401	0.7325361	0.024616884
s	0.007933406	0.0074865823	0.010973459	0.01940486	0.10152915	0.81876093	0.03391161
u	0.0007315616	0.0009823283	0.001197677	0.0019540226	0.022488689	0.795472	0.17717373
</S>	2.662796e-06	2.3964628e-06	1.0605309e-05	3.6631765e-05	0.0059496276	0.9023614	0.09163666
