 	l	ho	sentito	che	veniva	</S>
o	0.9894555	0.004621088	0.0010399852	0.0026308743	0.0017019782	0.0005504731
n	0.9730576	0.02569829	0.00018296544	1.4092723e-05	0.0010146524	3.2433163e-05
ì	0.21384715	0.0150889475	0.008842323	0.08594265	0.00824449	0.6680344
k	0.07923936	0.8555905	0.053537503	0.002367308	0.0072264327	0.0020388358
u	0.33197984	0.34248173	0.3059555	0.015162429	0.0006854283	0.0037350918
s	0.008961599	0.049324915	0.58817583	0.31210032	0.030646782	0.010790533
a	0.18068925	0.17591073	0.5377742	0.06050909	0.0008391346	0.04427766
k	1.6203034e-05	0.00013459555	0.009755776	0.9778766	0.0016778307	0.010539047
a	0.025976963	0.039951444	0.17310615	0.7207704	0.0053849467	0.034810014
è	1.751065e-05	7.326708e-05	0.0033600065	0.9655396	0.01904059	0.011968983
r	0.00072649267	0.0007204652	0.0006663669	0.024925947	0.9484636	0.024497045
k	0.013613357	0.01658576	0.06263631	0.571554	0.20583943	0.1297711
a	0.026609728	0.029100152	0.021825405	0.30551323	0.57268006	0.044271477
t	6.710434e-05	0.00020413163	0.00524181	0.19650172	0.58575296	0.21223226
o	0.02235735	0.02504646	0.0616733	0.16008617	0.08324202	0.6475947
</S>	2.586153e-06	2.1937713e-05	0.0004866911	0.061769977	0.1654839	0.77223486
