 	sto	ancora	cucinando	</S>
s	0.88949454	0.0025548688	0.018417602	0.089532964
t	0.6781155	0.31477985	0.0007365336	0.006368109
e	0.34247515	0.36722916	0.20091984	0.08937582
a	0.71892524	0.27201584	0.004085706	0.0049732146
n	0.0028917636	0.9920494	0.0026860565	0.0023727694
k	0.0041249003	0.015945148	0.9146357	0.0652942
ò	0.004721322	0.00967124	0.042203918	0.9434035
r	0.0634088	0.8156893	0.034500223	0.08640158
a	0.32761732	0.51293415	0.107127115	0.05232141
m	0.0014027592	0.105702706	0.6457051	0.24718943
a	0.018565308	0.0225834	0.9211716	0.03767964
r	0.0006866758	0.04496892	0.29214558	0.66219884
è	0.0079263495	0.01391005	0.95726043	0.020903185
o	0.009823542	0.33275825	0.18118611	0.47623208
n	0.00019833528	0.010959129	0.75709057	0.23175201
t	0.0004467444	0.0019058376	0.71556383	0.28208366
a	0.00021375016	0.0004752455	0.69734395	0.30196705
</S>	1.2970502e-05	0.0006168973	0.26009864	0.73927146
