 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.8197072	0.14977258	0.008759763	0.0052750977	0.012293145	0.0027153294	0.0006769304	0.00023923286	0.00056070235
j	0.9171634	0.081285626	0.0012442393	3.185781e-05	0.00025796916	8.787423e-06	8.123365e-06	4.6121995e-09	1.2848561e-07
i	0.022477504	0.030059073	0.7648357	0.13271043	0.03249283	0.0050956183	1.517255e-05	7.393759e-05	0.012239809
n	0.2481632	0.75171137	0.000109196895	8.885814e-06	2.823121e-06	3.7499723e-07	5.64699e-07	2.591852e-08	3.7126322e-06
è	0.08310593	0.725901	0.16926149	0.004423285	0.0031596825	0.003089242	0.00018906852	0.00011109223	0.010759177
k	0.014413362	0.9260466	0.040813446	0.0083171455	0.0067891916	0.0028201323	3.716232e-05	5.5810346e-05	0.00070711813
a	0.17482746	0.7224904	0.0807758	0.0024217397	0.0031759983	0.0007801347	0.00031861413	0.00027775552	0.014932099
p	0.0027753348	0.5044033	0.47733793	0.01228033	0.0026951502	0.0004761444	1.3038004e-05	1.3017416e-07	1.8628478e-05
u	0.039790407	0.046239078	0.7954295	0.07769071	0.014167864	0.016441882	0.00025450438	4.7577687e-05	0.00993847
l	0.00020065081	0.043437906	0.8892592	0.053107057	0.011646324	0.0023022662	3.137815e-05	4.0019344e-08	1.51319355e-05
i	0.016975703	0.021884654	0.8451407	0.08453674	0.013566425	0.009050159	8.907959e-05	0.00018505502	0.00857149
z	0.0001387427	0.016375583	0.6351317	0.2577016	0.077936605	0.011580338	0.0004610458	8.9271657e-07	0.0006735443
z	0.025736336	0.027685942	0.67478865	0.22676203	0.019263027	0.013515033	0.00026657397	0.00031073327	0.011671645
è	0.015095981	0.41950503	0.19906962	0.09772876	0.030272417	0.0810084	0.009021597	0.04846999	0.09982822
i	0.0068994616	0.030780282	0.14971055	0.58857185	0.15917216	0.058748867	0.0028547987	0.0004746045	0.0027874375
o	0.0003895637	0.00068399584	0.040721834	0.25056013	0.66008765	0.046214655	0.0011039122	2.939085e-07	0.00023795606
s	2.411646e-05	3.1692027e-05	0.0068924595	0.052775186	0.78067774	0.15885846	0.0005304936	1.0829409e-06	0.00020873855
p	0.0036719209	0.0041326196	0.12287507	0.39908344	0.28679898	0.119453594	0.00017103904	0.00041854643	0.063394755
ì	0.00013035399	0.0005854615	0.0008007074	0.011427035	0.027470574	0.048198752	0.0134939235	0.10780792	0.79008526
t	0.004478415	0.0063135116	0.02162483	0.32474777	0.36979693	0.24381228	0.0117803905	0.004295432	0.013150496
i	0.032617558	0.033195887	0.056407824	0.106254116	0.09885433	0.20614877	0.004122206	0.028825756	0.4335735
o	2.687338e-05	0.00012944189	0.00016697036	0.005479258	0.26312244	0.48189065	0.07395638	0.0022358836	0.17299211
à	0.0001916081	0.00020577555	0.00089795486	0.0029698715	0.11590302	0.80323464	0.059742067	2.9968489e-05	0.01682513
n	0.002187146	0.002210425	0.008649152	0.055817906	0.1325808	0.5858549	0.20334445	0.0006218786	0.008733437
t	0.02008448	0.017645096	0.06437578	0.16415001	0.112404115	0.2845361	0.013105562	0.017295223	0.30640367
r	0.019711945	0.022544341	0.021445787	0.03751427	0.10858515	0.16412753	0.16629256	0.06791614	0.39186227
e	0.014544078	0.020262398	0.01639639	0.025167277	0.109644614	0.097932905	0.117253244	0.23805925	0.36073986
p	2.9032184e-05	0.00015837791	7.797697e-05	0.000449464	0.02146981	0.027484594	0.6547417	0.087123394	0.20846567
o	0.007604215	0.007477928	0.007902865	0.009191484	0.00878753	0.027016608	0.0053887567	0.23218015	0.69445044
d	1.551402e-05	3.5282465e-05	3.575499e-05	0.00010121411	0.0037201655	0.004713191	0.5273583	0.29552653	0.16849405
è	0.0020722728	0.001956875	0.0026012978	0.0032966367	0.0030884475	0.016158337	0.012177588	0.9056234	0.053025145
g	0.00020447321	0.00015946182	0.00023649783	0.00045203711	0.00059704477	0.00068915996	0.73133224	0.20051424	0.065814815
g	0.001279882	0.0012393608	0.0014364892	0.0016173817	0.0016411223	0.004119616	0.05445057	0.90356344	0.030652149
h	0.019707285	0.02074653	0.017170886	0.018897658	0.02502693	0.027681133	0.46247774	0.11422471	0.29406717
e	0.012430897	0.012896481	0.012517717	0.013516516	0.01738707	0.01893118	0.24331322	0.4785484	0.19045846
</S>	0.0010525633	0.00056061376	0.0007591201	0.0005492905	0.00060089555	0.00059068034	0.011576977	0.07597462	0.9083352
