 	dei	genitori	</S>
à	0.9401286	0.009390721	0.05048068
t	0.99841857	0.0002725195	0.0013088922
t	0.67528707	0.17566623	0.14904669
u	0.35700956	0.04805365	0.5949368
s	0.22117974	0.75278133	0.026038982
g	0.09690273	0.86511976	0.03797752
e	0.07755552	0.7585449	0.16389954
n	0.0066627073	0.882992	0.11034532
i	0.014347472	0.9070979	0.07855465
t	0.05333821	0.77999085	0.16667096
ò	0.037851322	0.9270542	0.03509442
r	0.014795008	0.90758806	0.077616796
u	0.016168172	0.9528511	0.030980684
</S>	0.00021160094	0.120854914	0.8789335
