 	è	che	è	entrato	da	qui	</S>
è	0.9708046	0.007568028	0.0028539505	0.0019116303	0.0069431537	0.00813737	0.001781295
n	0.9234669	0.0757076	0.00077450887	3.3492768e-05	1.6132839e-05	1.0827054e-06	2.5839228e-07
a	0.6953299	0.16830385	0.058618322	0.07069708	0.0066241957	0.00010176723	0.00032480454
m	0.0037086376	0.33148703	0.65612847	0.0067887953	0.0016353931	8.468265e-05	0.00016683077
b	0.004860678	0.08089832	0.23475683	0.51012903	0.09694623	0.026021156	0.046387706
ì	0.0037763466	0.09665064	0.20960516	0.6168172	0.0018741817	0.004178643	0.0670978
k	0.014310442	0.024037456	0.05948373	0.7964889	0.0785659	0.014309022	0.012804581
e	0.008258939	0.017307587	0.02649937	0.9234871	0.011196275	0.00065861037	0.012592003
a	0.0014617956	0.003457451	0.16594753	0.2004308	0.61850715	0.00340303	0.006792304
p	0.00044003123	0.0016478109	0.029660739	0.00498215	0.11049247	0.8364326	0.016344218
ò	0.0004060512	0.0006460825	0.002259506	0.00836852	0.017416777	0.9366258	0.034277275
t	0.002192287	0.0025923976	0.024574962	0.102901936	0.34654352	0.4703699	0.050825004
t	0.015357509	0.01686017	0.023781095	0.06095726	0.06379118	0.7705902	0.048662487
u	0.0011663839	0.0011767433	0.0040396103	0.0018810169	0.03843226	0.8459767	0.10732732
</S>	4.577136e-06	4.5994525e-06	8.945515e-05	8.196253e-06	0.0019029037	0.94714075	0.050849438
