 	l	ho	sentito	che	viene	</S>
o	0.9905862	0.006061199	0.000897621	0.0007143571	0.00059476274	0.0011459215
n	0.9802013	0.019626759	7.194267e-05	4.3008095e-06	4.2700092e-05	5.294581e-05
ì	0.16965345	0.011203808	0.0088104885	0.037779197	0.21839494	0.5541581
k	0.057155393	0.80579925	0.115971535	0.0015329535	0.016385352	0.003155602
u	0.2708015	0.30760312	0.3976055	0.009581575	0.0077162934	0.0066920673
s	0.0066295504	0.046730623	0.7519612	0.05782012	0.12086562	0.015992993
a	0.062931985	0.063527144	0.14566252	0.70392954	0.011774909	0.012173912
n	5.9157835e-05	0.000531536	0.02045038	0.8485607	0.04658244	0.083815694
a	0.013274561	0.02080957	0.076643184	0.79837793	0.08054047	0.010354238
r	0.00011474709	0.00065382454	0.02023534	0.545154	0.20442884	0.22941324
t	0.03868025	0.040520575	0.06936757	0.3511258	0.454818	0.04548768
i	0.0019254966	0.016080758	0.029258728	0.062216144	0.81700623	0.07351268
</S>	1.623742e-05	0.00029219303	0.0029641765	0.030789787	0.8564427	0.10949488
