 	mia	figlia	vuole	andare	</S>
i	0.9880162	0.011156179	0.000120102355	0.00017201572	0.00053554255
k	0.21249324	0.78739524	0.00011048025	4.9632096e-08	9.664061e-07
i	0.72454894	0.05263047	0.0033906433	0.10438473	0.11504519
a	0.354187	0.6451175	0.00015055954	4.8040787e-05	0.0004968155
t	0.25859642	0.73365927	0.0061189104	0.0005969475	0.0010284935
è	0.09424619	0.073079415	0.0067351963	0.35438108	0.47155812
r	0.07582153	0.7912777	0.099111654	0.013398816	0.02039029
a	0.52020943	0.19618349	0.0019877395	0.07580185	0.20581748
m	0.0026875495	0.058572635	0.011090129	0.18890573	0.73874396
u	0.4216857	0.25812638	0.051686067	0.10441839	0.16408345
i	0.003285562	0.0072330805	0.021644762	0.07247681	0.8953598
t	0.00095918163	0.003612225	0.8257784	0.12337838	0.046271835
è	0.014922684	0.012624989	0.016801083	0.7222945	0.23335673
l	0.0003895907	0.0031565172	0.8236204	0.16281366	0.010019841
i	0.020690443	0.015101432	0.024918053	0.83481944	0.10447067
n	5.728948e-05	3.064199e-05	0.077328786	0.8990384	0.023544934
a	0.0021979753	0.0015633191	0.006756357	0.93799245	0.0514899
p	0.00021891996	6.763551e-05	0.051973335	0.8286443	0.119095854
à	0.0041035926	0.0037230623	0.006817359	0.9449012	0.040454797
i	0.001534008	0.0016617811	0.042500313	0.85129786	0.1030061
</S>	4.2050317e-05	3.414255e-05	0.00068190997	0.29130518	0.70793676
