 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.89587426	0.024589865	0.025576267	0.013256543	0.02639814	0.0095416345	0.00097562093	0.0037877196
s	0.9832585	0.016360026	0.0003318043	3.9239203e-05	1.0067355e-05	1.475173e-08	1.937935e-09	3.3656596e-07
ò	0.55641836	0.050390173	0.03796591	0.13673757	0.21256515	0.0013171771	5.1880612e-05	0.0045537665
z	0.5539223	0.438472	0.0067250966	0.00054648943	0.0003118909	1.1208028e-05	1.2402188e-06	9.785694e-06
i	0.44390798	0.48719662	0.056884453	0.0029723507	0.0072086914	0.00065376813	0.00010028249	0.0010758546
m	0.042362537	0.5178876	0.40608624	0.020250646	0.013010413	8.2948776e-05	1.0098894e-06	0.00031857585
i	0.031824753	0.13921236	0.7388704	0.063381694	0.014751118	0.000595843	0.00096208224	0.010401766
m	0.01790225	0.33883578	0.5058125	0.10917015	0.020939328	0.00031683163	4.2678417e-05	0.0069804946
i	0.01476797	0.08189267	0.73344153	0.1027511	0.016108844	0.0008478195	0.0051068556	0.04508315
l	0.0087709	0.06765353	0.5194877	0.31567442	0.0823365	0.00027909022	1.2237252e-05	0.005785678
ì	0.04785643	0.06839566	0.22223835	0.09300869	0.12633984	0.06404328	0.039133303	0.33898443
s	0.01269258	0.10780557	0.16342288	0.42050436	0.27098674	0.015850918	0.00046343365	0.008273468
i	0.090938635	0.10976059	0.2500581	0.15745804	0.05408928	0.045349058	0.10324951	0.18909673
a	0.00011476409	0.00052903313	0.011403242	0.534949	0.40579385	0.030153492	0.0010419257	0.016014628
t	0.00056687766	0.0005935317	0.020262431	0.07995519	0.8820796	0.007756151	0.00045796199	0.008328257
s	0.0048595686	0.00842355	0.07486925	0.12983944	0.25535637	0.35928932	0.0609992	0.106363386
è	0.00037701332	0.00042989332	0.0007869316	0.004138165	0.0032009922	0.020330481	0.43195787	0.53877866
t	0.012806898	0.036135852	0.02169988	0.10375163	0.554073	0.17866072	0.033489	0.059383024
ù	0.024039809	0.026046917	0.031978883	0.042705294	0.08378521	0.21417338	0.33377054	0.24350002
o	0.0047705197	0.018676475	0.01703477	0.07451876	0.38407785	0.2298783	0.09878173	0.17226164
m	0.00034737017	0.0005952848	0.0010043411	0.0024052013	0.03321146	0.6855285	0.044152357	0.23275559
e	0.00068994635	0.000817513	0.0018065549	0.0027456174	0.011374099	0.75033957	0.16851851	0.06370807
t	8.847949e-05	0.0002155475	0.00015427405	0.00034556174	0.0048406166	0.46329075	0.24612342	0.28494132
i	0.0012994229	0.0015856115	0.0013906626	0.001512295	0.0022347213	0.074853756	0.8037493	0.11337423
n	9.953859e-06	3.1344112e-05	3.65703e-05	0.00015056902	0.0019137335	0.1710983	0.38672608	0.44003347
A	0.00036791945	0.0004387415	0.0004530442	0.0004952009	0.000769014	0.041705273	0.9013861	0.054384697
n	0.0003455917	0.0007476323	0.0001452164	0.0003594086	0.0008545682	0.0073711188	0.67518514	0.31499138
n	0.00014466069	0.00018060957	0.0001595308	0.00016911064	0.00025387338	0.015868064	0.94865197	0.034572102
a	0.105376914	0.09314005	0.03842192	0.039610405	0.024351422	0.011493147	0.5049166	0.18268949
</S>	0.0015331549	0.0018964995	0.0007143067	0.0007639348	0.0010592827	0.024997786	0.32931295	0.6397221
