 	vengono	vestiti	</S>
è	0.06060055	0.035331726	0.9040677
r	0.9999652	2.0900244e-07	3.4626883e-05
k	0.6433275	0.056763772	0.29990873
u	0.081088975	0.01092425	0.90798676
t	0.9511626	0.0072828284	0.041554607
t	0.15859333	0.35670003	0.48470667
e	0.014447389	0.88208395	0.103468634
n	0.6170601	0.1958799	0.18705998
d	0.0005766798	0.9662361	0.033187125
i	0.0008672922	0.8004637	0.19866903
m	0.046519518	0.83893603	0.11454447
è	0.00033588533	0.9745557	0.025108475
n	0.067811325	0.7812647	0.1509239
a	0.023013905	0.8933502	0.08363588
</S>	0.0020400255	0.16053905	0.83742094
