 	la	casa	la	costruirono	i	muratori	</S>
o	0.9790106	0.008110332	0.0024597116	0.0026832563	0.006040198	0.0006160199	0.0010800542
s	0.548793	0.45062026	0.00058500323	5.4534223e-07	3.674834e-07	1.0295501e-08	8.635001e-07
p	0.7417711	0.022420652	0.05486126	0.082932845	0.07561278	0.0040136743	0.018387677
ì	0.06337078	0.14895572	0.57550657	0.098637074	0.081738934	0.005977807	0.02581309
t	0.10097068	0.7926448	0.09871536	0.0043059443	0.0025041727	0.00023861564	0.00062045164
i	0.26233363	0.22360583	0.055767898	0.049722362	0.31738937	0.020509608	0.07067128
o	0.000895408	0.5738998	0.41434094	0.0065374887	0.0035330479	0.00015969339	0.00063356536
f	0.00024967856	0.03657576	0.9452306	0.015882747	0.0013794039	5.599547e-05	0.00062573026
a	0.0094385585	0.014986185	0.24157801	0.24208851	0.17061864	0.10733422	0.21395585
b	3.783064e-05	0.011595092	0.76019925	0.17682537	0.018595519	0.011562969	0.021183994
b	0.011015777	0.015696395	0.20993856	0.5690529	0.07306893	0.02233165	0.09889576
r	0.0013294136	0.15464178	0.25571337	0.047840133	0.0015815477	0.009178244	0.52971554
i	0.03740989	0.19984095	0.12907794	0.059271242	0.009609409	0.016605379	0.5481852
k	0.000113193426	0.0048984834	0.052675866	0.8731917	0.019087717	0.007168233	0.042864647
è	0.01702161	0.022197166	0.092442654	0.68523794	0.09019349	0.015638612	0.077268526
t	0.0024989054	0.006025519	0.058932737	0.7913167	0.115736865	0.0048346226	0.020654686
s	0.07057928	0.07281637	0.10408226	0.5079911	0.121305086	0.08192206	0.041303933
a	0.011311817	0.07229679	0.045709804	0.19089338	0.032887165	0.2006481	0.44625288
n	3.215994e-05	0.001222871	0.0074242954	0.5111196	0.34141192	0.08972717	0.04906198
e	0.014044158	0.014726477	0.028270049	0.3274258	0.52371645	0.057124525	0.03469253
e	1.060755e-05	0.00011052394	0.00046065258	0.037618138	0.83565456	0.096503034	0.029642437
f	7.0999886e-05	0.00016165858	0.000983485	0.014756892	0.6653438	0.29447153	0.024211619
a	0.00035305074	0.00036234577	0.0010223313	0.008226474	0.29497653	0.67222226	0.02283697
b	5.1134107e-06	3.1879885e-05	0.00024915	0.005060839	0.1237373	0.7484066	0.12250911
b	0.00035063812	0.0003527478	0.0007812599	0.0061735064	0.103424795	0.86690015	0.022016924
r	0.0001523513	0.00073933444	0.0005874655	0.002008828	0.013915695	0.7232827	0.2593137
i	0.0013262067	0.0058917315	0.0039903848	0.005321921	0.08217467	0.73956263	0.16173248
k	5.4925954e-06	5.1889823e-05	0.0001429548	0.0009947058	0.047557946	0.81928664	0.13196036
a	0.00072559953	0.000721636	0.0009865689	0.0021331864	0.019904071	0.9263265	0.04920234
t	3.350447e-05	7.100477e-05	0.0002589467	0.0015004218	0.05893802	0.6904212	0.24877691
ù	0.0029499037	0.0027308806	0.0040122955	0.003084549	0.062845096	0.7005961	0.22378114
r	0.00039153112	0.00045305968	0.0016391905	0.004095445	0.21675691	0.25611255	0.5205513
i	0.0014180422	0.0014296079	0.0016358023	0.0019060047	0.01286852	0.767154	0.21358807
</S>	3.9821225e-06	1.8778193e-05	3.25447e-05	6.370581e-05	0.0063254563	0.2388907	0.75466484
