 	lo	sentii	ee	che	arrivava	</S>
t	0.9872732	0.0062223384	0.00061625417	0.0034433808	0.0012866999	0.001157919
o	0.95138025	0.00903837	0.023823643	0.00692541	0.0070653865	0.0017669683
n	0.78288436	0.083252996	0.13335402	0.00026308617	2.9781915e-05	0.00021575595
ì	0.21819606	0.05650341	0.016403215	0.059731666	0.36505446	0.28411123
k	0.04351291	0.8753005	0.078343034	0.00033459236	0.0005168961	0.0019920405
u	0.74943525	0.08061865	0.13812931	0.0042558387	4.7323112e-05	0.027513545
s	0.04894364	0.1304989	0.7572417	0.0030655495	0.0015668528	0.058683358
a	0.25791675	0.26856813	0.31855348	0.010306369	0.031672157	0.11298312
e	0.00075195305	0.0155852055	0.64418846	0.19797887	0.0020142153	0.1394813
e	0.0010888746	0.0014408355	0.57618916	0.28684515	0.05310022	0.08133582
k	8.141725e-05	0.0006094548	0.101361625	0.76915133	0.123107746	0.0056884857
a	0.0017535259	0.0071659186	0.019232899	0.87033254	0.021201504	0.080313675
è	9.677144e-05	0.0014581517	0.021769134	0.9449955	0.023550484	0.008129925
s	0.0044942675	0.02199329	0.11906369	0.31427604	0.46016952	0.08000316
t	0.004568087	0.013730195	0.011344407	0.31798568	0.5976735	0.05469816
a	0.00035334413	0.0005106093	0.0007014055	0.037092693	0.7959849	0.16535705
z	1.9747242e-06	1.59443e-05	3.9543407e-05	0.014689904	0.7620949	0.22315772
z	0.00518364	0.0069251745	0.008955127	0.061695162	0.4443914	0.47284943
e	0.00050234946	0.0012205485	0.000930759	0.09314641	0.06265	0.8415499
</S>	6.194372e-06	4.8519923e-05	0.00012880316	0.016259558	0.46691966	0.5166373
