 	sto	e	cucino	</S>
e	0.53519946	0.16918582	0.08307601	0.21253872
s	0.9994722	0.0004389628	1.2651257e-06	8.75581e-05
t	0.60161144	0.13862997	0.021750046	0.23800859
è	0.021535065	0.10654844	0.5707276	0.3011889
c	0.23570313	0.6474245	0.061225384	0.055646937
e	0.024024637	0.22518906	0.65622485	0.09456151
m	0.006909563	0.19539566	0.13917075	0.658524
a	0.00048814723	0.010516729	0.96994025	0.019054845
r	0.0066382666	0.36137646	0.080498256	0.55148697
è	0.006908842	0.0089812	0.9743954	0.009714568
o	0.013313856	0.08622783	0.10499354	0.79546475
</S>	0.00098163	0.12232904	0.029582828	0.8471065
