 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a	0.9246171	0.049741354	0.0077402685	0.0051105954	0.002489418	0.0061962144	0.0023945842	0.0013682767	8.9663794e-05	0.00025263175
n	0.92461294	0.038479574	0.035805594	0.0009680673	0.00010188216	2.4326117e-05	6.4148044e-06	9.412019e-08	5.1795016e-08	1.0553862e-06
ì	0.097653426	0.1404132	0.44076297	0.23418318	0.06592366	0.011790676	0.004256009	0.00072818506	5.980274e-06	0.004282684
c	0.01858603	0.8523835	0.12772998	0.0010412775	6.264615e-05	0.00016571968	2.28357e-05	6.338004e-06	4.262819e-08	1.6337901e-06
h	0.0004913706	0.46812862	0.52988434	0.0013509735	2.725889e-05	3.1410505e-05	6.827277e-06	9.872789e-06	8.8173124e-07	6.8458816e-05
a	0.0038751152	0.60730934	0.3884962	0.00024751565	1.3741685e-05	4.4791345e-06	3.1922218e-06	6.4175447e-06	3.1349152e-06	4.0804985e-05
d	0.0021184639	0.10431457	0.87693745	0.015718656	0.0006145112	0.00021208056	7.9468875e-05	1.7478458e-06	2.6504885e-08	3.0767706e-06
ò	0.006961492	0.16649021	0.73540324	0.081242904	0.0068861423	0.0010689278	0.0007189919	0.00024629314	7.802831e-06	0.00097404094
n	0.0035461932	0.033298858	0.75293934	0.19865073	0.0066286717	0.0035126137	0.0011236735	0.00021524838	6.607817e-07	8.401439e-05
t	0.004818111	0.13087676	0.68054175	0.17747016	0.0025640791	0.0012654851	0.00033796462	0.00036546524	1.0916313e-05	0.0017492155
a	0.013720243	0.06531672	0.48346573	0.3850597	0.02491828	0.005748485	0.0019226198	0.0018590427	7.0508926e-05	0.017918646
t	4.931983e-05	0.00057460944	0.011113803	0.95877355	0.023907026	0.004865519	0.0006704641	4.3562595e-05	4.7975686e-09	2.111333e-06
a	0.01436906	0.02536169	0.08147734	0.32874736	0.2476089	0.1457898	0.08370207	0.062088963	0.00022859829	0.0106262015
s	3.6117377e-05	0.00024440957	0.0092082275	0.8753925	0.038974755	0.07026524	0.0054608085	0.0003703977	1.08540966e-07	4.7440186e-05
ì	0.015256209	0.019582393	0.064989395	0.32359475	0.35635263	0.12492863	0.07135268	0.018613627	0.00010093185	0.0052287434
n	0.00031957356	0.00044317078	0.0026304948	0.1166886	0.8533153	0.023478214	0.0019490108	0.00042670255	1.6800384e-05	0.000732221
n	0.0072774366	0.013752266	0.032028873	0.16837364	0.7042241	0.06029258	0.003714245	0.0017089372	2.8762961e-05	0.008599081
e	0.0073874556	0.029951712	0.070193574	0.32954076	0.50388473	0.03994352	0.00064250873	0.0002211098	0.00065547886	0.01757919
f	0.00011636081	0.0004591653	0.0009693467	0.060833387	0.45911765	0.46804747	0.0068875263	0.001096857	4.3464747e-06	0.002467992
a	0.025350831	0.025775205	0.03334324	0.07554016	0.4273757	0.13581988	0.11609445	0.063406944	0.0025953257	0.09469827
ì	3.5823727e-05	0.000107559215	0.00043012484	0.043454144	0.092728965	0.7488856	0.09779328	0.014639566	9.246473e-06	0.0019157787
c	0.0009644854	8.403538e-05	0.0005966172	0.0035171842	0.024530662	0.7241078	0.2453133	0.0007665832	1.2700053e-06	0.00011800331
h	0.0005501929	0.0010799548	0.0029677993	0.025946714	0.14403127	0.7235744	0.025757419	0.0032868218	0.0046326644	0.06817276
