 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
à	0.8011257	0.04798107	0.04200123	0.032161277	0.036734566	0.01150063	0.0029880088	0.017630506	0.004014464	0.00084914913	0.0030133834
r	0.896416	0.07201749	0.023383092	0.0064286427	0.0012395409	0.0005104495	1.8937295e-06	2.5447314e-06	2.8761468e-07	2.1200979e-08	5.2777356e-08
t	0.090915255	0.5537363	0.20305583	0.058087792	0.05879651	0.033176202	0.00063540024	0.001337132	0.00015619094	5.0307215e-05	5.3033353e-05
e	0.15408956	0.71609217	0.085754596	0.023903292	0.015487606	0.003703611	0.0004829781	0.0002389782	5.4043467e-05	8.500589e-06	0.00018455571
n	0.0142789185	0.9298677	0.04927451	0.0052074166	0.0011660606	0.00018258329	1.2869459e-05	7.992422e-06	1.2856437e-06	1.515826e-07	5.268488e-07
a	0.0047895084	0.51624876	0.45192832	0.024809781	0.0010200453	0.00027665248	0.00039860266	0.00011589627	5.4249493e-05	0.00011014303	0.00024808678
i	0.0005370641	0.34755045	0.6452553	0.006026716	0.0005332858	6.376758e-05	1.0665573e-06	2.6256641e-06	5.3134016e-07	1.0406649e-06	2.8087517e-05
v	0.00060869375	0.5958414	0.32335886	0.07818154	0.0017859555	0.00021030247	4.4156013e-06	2.347453e-06	1.693225e-07	2.8331718e-07	6.0252664e-06
ò	0.0023544126	0.113979384	0.28639224	0.52221704	0.010852138	0.0005023048	0.0010937582	0.0011219074	0.0010364751	0.021355081	0.039095204
s	0.0022472457	0.21813026	0.5404759	0.220365	0.015375186	0.0015533784	0.00054971955	0.0007324252	0.00015378601	0.00012733499	0.0002897425
t	0.026433157	0.17159468	0.39338705	0.3546213	0.008993512	0.003317662	0.004622593	0.005397117	0.0034965565	0.014302118	0.013834327
e	0.005677548	0.3135509	0.11460576	0.09641059	0.015467165	0.013518174	0.03379937	0.064648904	0.09231888	0.036289822	0.21371284
s	3.1132386e-05	0.060902517	0.10103748	0.78752446	0.04704934	0.0025831647	3.294422e-05	0.00065092015	0.0001056401	2.7582792e-05	5.4804837e-05
t	0.010492272	0.031674	0.06270117	0.6821568	0.07470845	0.019423064	0.026527466	0.024379417	0.040607728	0.01680626	0.010523372
u	0.0030405521	0.319425	0.1040997	0.24627277	0.039214905	0.012389946	0.013745439	0.04398184	0.13896145	0.04474406	0.034124367
d	4.972843e-05	0.017528497	0.017227441	0.6194933	0.33063692	0.012490608	0.00016113426	0.0014683857	0.00025995585	0.00016470268	0.0005192779
i	0.004954649	0.017540144	0.041274987	0.6593891	0.22359131	0.015659604	0.018542832	0.0025439514	0.0010902734	0.008093378	0.0073197596
è	0.00013158693	0.0027946546	0.0059408876	0.20583995	0.7084773	0.055515572	0.006481419	0.0011145715	0.00013233724	0.0003124662	0.013259319
o	0.009555394	0.007253343	0.020614117	0.15373284	0.6290975	0.16602045	0.003055232	0.008754397	0.0010051961	0.00027141848	0.000640061
n	0.00014634286	0.0005564984	0.0008843913	0.0510751	0.59652346	0.33422574	0.008421648	0.006946936	0.00022605582	0.00029400017	0.00069983734
a	0.0019254792	0.0048829606	0.010346321	0.20769373	0.38931194	0.13004258	0.10672164	0.0074806893	0.00060217787	0.04142874	0.09956377
n	4.705385e-05	0.00011861159	0.00027322298	0.00619182	0.16655278	0.38043794	0.42027912	0.02114436	0.0010195937	0.0004921563	0.0034433543
a	0.0033217838	0.004863378	0.007286657	0.08727431	0.24053276	0.33638856	0.21442029	0.04212698	0.0025150501	0.028633	0.03263729
m	5.356951e-05	0.00011019648	0.00017201477	0.0017035506	0.07412866	0.42389023	0.30872127	0.15711246	0.011284965	0.0022050915	0.020617967
à	0.003850232	0.005015138	0.006571542	0.048053216	0.15355113	0.38293996	0.2397919	0.1346276	0.009092729	0.0077720108	0.008734466
s	0.0019071363	0.0014728686	0.0034160248	0.004451291	0.07673266	0.35197237	0.036579777	0.43447474	0.05886521	0.0045877816	0.02554016
o	0.027329732	0.02781603	0.029083818	0.041778672	0.066730656	0.15220265	0.18209733	0.27187878	0.13331304	0.039724708	0.028044654
n	1.828656e-05	0.00017176777	0.00010200661	0.0002781537	0.010694851	0.02529467	0.0029918202	0.71859586	0.1436708	0.016124107	0.082057655
a	0.0047249305	0.004993266	0.005624519	0.015465187	0.039267328	0.171511	0.08474139	0.47963068	0.15819074	0.0234909	0.01236002
d	2.1115953e-05	3.149546e-05	3.520482e-05	6.1203566e-05	0.0012657936	0.008464356	0.013672292	0.39066383	0.53562003	0.0113564115	0.038808286
i	0.0053479807	0.005128231	0.005557704	0.009526009	0.017469864	0.063575834	0.040817615	0.32390702	0.43337244	0.07892166	0.01637557
v	9.758646e-06	1.36631e-05	1.5607411e-05	2.1423362e-05	0.0004105888	0.0021610218	0.0052951477	0.16709088	0.76083285	0.024758654	0.039390393
e	0.002473864	0.0023522156	0.0025540646	0.0043697394	0.008087685	0.030039698	0.022945793	0.22322959	0.5073538	0.1695111	0.027082449
n	8.270716e-06	6.262539e-06	8.415659e-06	8.886655e-06	0.000116391166	0.00075286126	0.0042064255	0.08358878	0.84986967	0.024638483	0.036795635
t	0.0018191426	0.0015737588	0.0017321974	0.0026582202	0.0045175846	0.0154889375	0.012867152	0.123399	0.42535928	0.36585495	0.04472976
è	0.00079203834	0.0032407935	0.0013906752	0.001700263	0.005561828	0.0035830806	0.013147671	0.02203561	0.05262136	0.43709618	0.45883054
s	0.0009999608	0.0006053806	0.0011593794	0.00060464325	0.003186875	0.009763358	0.01237984	0.089636944	0.22792117	0.28674138	0.36700115
s	0.007348415	0.00681806	0.0070268414	0.0074712504	0.008685403	0.012958737	0.02478265	0.044319212	0.23129542	0.5791707	0.07012323
o	0.002702658	0.005398799	0.0035190897	0.0039406805	0.007381754	0.00669709	0.033487257	0.04604344	0.09953036	0.24474543	0.54655343
m	2.4686664e-05	5.4265023e-05	3.052987e-05	3.3685017e-05	0.000120023986	0.00018839561	0.0006578488	0.01005273	0.07525296	0.31295326	0.6006316
a	0.002512705	0.0023757617	0.002476191	0.0031898925	0.0045357994	0.011103983	0.00885653	0.07526421	0.37095448	0.40773445	0.11099597
è	8.559018e-05	4.0257994e-05	4.7561756e-05	3.360965e-05	6.63458e-05	0.00017347383	0.004133341	0.0049103224	0.13674241	0.45948243	0.39428467
s	0.00054363615	0.00018799688	0.00024967242	0.00012694977	0.00019057344	0.00047928165	0.001794927	0.00330137	0.03272564	0.4966629	0.463737
t	0.00030259354	0.0001760681	0.00020350762	0.00018487693	0.00021329655	0.00036407326	0.0018644613	0.0018038186	0.024573835	0.8368297	0.13348375
r	0.00011588925	0.00023986856	0.00014989362	0.00016311706	0.00028715024	0.00024292739	0.000930164	0.0016695007	0.0054384517	0.2299871	0.760776
a	0.00015832168	0.00040912855	0.00022170643	0.00024306557	0.0004523771	0.00031881215	0.0008822327	0.0019209577	0.004518166	0.24013886	0.7507364
</S>	1.2719848e-05	1.4941547e-05	1.0884989e-05	9.620803e-06	1.9249619e-05	2.6469716e-05	0.00031379893	0.0004837861	0.0067769256	0.2628691	0.7294625
