 	entrò	da	qui	</S>
m	0.99673826	0.00050534785	0.0021307624	0.0006256444
b	0.99527764	0.0019040584	0.00085133116	0.0019670932
ì	0.24292271	0.29251438	0.048856933	0.41570592
k	0.63983494	0.15109377	0.18489037	0.024180945
e	0.19335778	0.73540723	0.009608803	0.061626192
a	0.21181396	0.695883	0.056872595	0.035430443
p	0.0001177451	0.074166246	0.9009073	0.024808666
ò	0.0009471327	0.0033865152	0.9079767	0.08768958
t	0.00059636455	0.023201529	0.9389991	0.037202932
t	0.0037325781	0.0077896276	0.9714854	0.016992504
u	2.9584504e-05	0.00014399434	0.99447733	0.0053491746
</S>	3.5611723e-07	5.3078343e-06	0.9359696	0.06402465
