 	quando	Giovanni	è	arrivato	è	arrivato	alla	casa	o	a	casa	ancora	e	cucina	</S>
s	0.9828872	0.009029773	0.0004205793	0.0009249454	0.00022260836	0.0018821179	0.00050062936	0.0028253328	0.00020387054	0.0002912273	0.00073129655	1.0517095e-05	5.677003e-05	3.3026288e-06	9.80892e-06
à	0.36897907	0.5933866	0.010826498	0.013828658	0.0001667274	0.0025825228	8.8746325e-05	0.008860599	0.0002992282	1.2952011e-05	0.000853551	0.000102885315	5.0693047e-06	4.756817e-07	6.387664e-06
t	0.0021821314	0.9977101	5.9216123e-05	3.0464063e-05	4.5056166e-07	7.911689e-06	5.3562394e-07	6.2737918e-06	1.7550628e-06	4.5418403e-08	3.735932e-07	6.54876e-07	1.04584625e-08	2.8447084e-10	1.5536936e-09
t	0.18208745	0.765017	0.014657484	0.020710688	0.0059582875	0.005862222	0.00086260965	0.0014878456	0.0014430467	0.00027702586	0.00015013212	0.001466744	9.434466e-06	8.7857126e-07	9.085151e-06
e	0.25190586	0.43984604	0.03141725	0.13113675	0.03287191	0.06315495	0.006067192	0.021928487	0.009552541	0.0032905547	0.0014056318	0.007250199	5.4860488e-05	1.1357058e-05	0.00010634527
o	0.00021131034	0.97437716	0.023499021	0.0012486129	0.0001663503	6.342032e-05	2.702895e-05	9.112671e-05	0.00023306313	5.0596436e-06	3.2371358e-05	4.5180743e-05	2.6309144e-07	2.9228882e-09	7.1788793e-09
G	2.2764152e-05	0.8983226	0.08867639	0.012189022	0.00019280011	0.000107508764	1.0605028e-05	0.0002916408	0.00010072369	1.4168897e-06	4.9255003e-05	3.4101515e-05	1.205365e-07	7.662059e-08	1.0455095e-06
i	0.021091048	0.09158201	0.31354457	0.5416441	0.0060907127	0.016066223	0.00035623537	0.0009371081	0.0004993522	0.00038692114	0.0004007394	0.0019261806	0.00083146105	0.00090472924	0.0037386753
o	0.0009779193	0.87055373	0.12224814	0.0055078855	0.00025593681	0.0003347526	9.913701e-06	5.777212e-05	1.3423462e-05	5.807109e-06	1.9598929e-06	1.2388275e-05	7.08383e-07	1.892498e-06	1.7739952e-05
v	6.227562e-05	0.3082545	0.5202167	0.16385745	0.0022674561	0.00080042024	0.00018056603	0.0009288624	0.0021979096	1.9720037e-05	0.00016735149	0.0010423645	4.6784524e-07	1.4747218e-07	3.7877421e-06
à	0.0040354114	0.016924469	0.31829196	0.56388986	0.030608991	0.045808762	0.00037439686	0.0021411448	0.0014794506	0.0009085371	0.0013683797	0.0058806688	0.0012523567	0.0016114952	0.005424086
n	0.00051984505	0.029800199	0.68361557	0.25586468	0.015268973	0.012199962	0.0006344786	0.0008937522	0.00036209103	0.00014929754	0.00032091068	9.416796e-05	7.091399e-05	4.2832016e-05	0.00016232932
n	0.038899712	0.06976513	0.5526184	0.2916377	0.013542349	0.008686229	0.00059986033	0.00279363	0.0036388508	0.00082838733	0.0019557755	0.011153343	0.00041787658	0.00055132207	0.0029114871
i	0.048732653	0.5032578	0.3631186	0.070495114	0.0038744486	0.0028399215	8.615208e-05	0.00013266804	5.7269426e-05	3.78984e-05	4.8352613e-05	0.00021179942	0.0001078817	0.0011568676	0.005842579
è	5.83287e-05	0.0020913477	0.18542597	0.7126525	0.05781116	0.040417623	0.00021615741	0.001029228	0.00015451638	3.6844292e-05	5.163838e-05	4.217553e-05	3.4742156e-06	5.7969345e-07	8.394211e-06
s	0.00039873767	0.068554	0.21044986	0.3186911	0.1769021	0.14634885	0.00509548	0.017499134	0.022772428	0.0005766684	0.009290623	0.023145229	0.00023847415	2.718706e-06	3.4552046e-05
t	0.009973041	0.011387848	0.052978188	0.20854957	0.17352453	0.2993582	0.016224414	0.020838834	0.02773788	0.022929758	0.027736299	0.09536456	0.017357102	0.0021972402	0.013842574
a	0.0020272047	0.019633546	0.0939105	0.5548141	0.042312372	0.09513027	0.005674692	0.023468895	0.0047829966	0.009355619	0.013242094	0.022020215	0.025099417	0.036611166	0.05191691
s	7.3835045e-06	0.002328521	0.032239936	0.25676665	0.18405087	0.49137187	0.0046774927	0.01817179	0.0027261607	0.00086629525	0.005056722	0.0014240909	0.00025749503	4.6701443e-06	5.0040904e-05
e	0.007750975	0.012576755	0.02345502	0.05290654	0.09725616	0.29732847	0.06503267	0.012311834	0.0398055	0.02465753	0.0058768047	0.3446555	0.014085217	0.0002585302	0.0020424507
è	5.218063e-06	0.0010302066	0.009453717	0.09652663	0.11914141	0.7005128	0.026322056	0.03360259	0.004788197	0.0016603313	0.004871457	0.0015878008	0.00040907625	1.3181966e-05	7.53652e-05
s	0.00047939343	0.02683124	0.01643368	0.013896834	0.15401755	0.3020763	0.16566865	0.1621824	0.058088668	0.002955989	0.017989974	0.07842896	0.00080531277	1.5911259e-05	0.0001290655
t	0.0030976983	0.0040906295	0.008361493	0.021773743	0.13564628	0.39904627	0.13024485	0.027120538	0.021117581	0.02292865	0.028686948	0.099694856	0.034381285	0.008064724	0.055744454
a	0.0008304057	0.002435896	0.00803668	0.07173802	0.055604387	0.3064042	0.055747297	0.009874915	0.0032727541	0.00546043	0.0056746253	0.010550193	0.019421909	0.16814995	0.27679834
s	6.8011504e-06	0.0002396352	0.0015894037	0.02216122	0.07778411	0.6010086	0.15079261	0.12848084	0.0029740434	0.0026988236	0.0067849327	0.0015691617	0.0006390616	0.00031777465	0.0029529743
e	0.0054164063	0.007334994	0.00944679	0.014048372	0.05163468	0.1132464	0.5411094	0.042617977	0.034330446	0.02411311	0.006182	0.12627022	0.016645802	0.0012925568	0.006310801
s	3.6300557e-06	0.00013741199	0.00060898444	0.0077595	0.017110154	0.30159113	0.2937404	0.34571326	0.009521119	0.007633301	0.011891235	0.0014195433	0.0014738085	0.0002761668	0.0011203069
t	0.0029406063	0.003862848	0.0050064707	0.0074931127	0.029790241	0.067356646	0.5799635	0.080176555	0.050659686	0.03357133	0.00681554	0.10948421	0.014492617	0.0012961213	0.007090461
o	0.0014824672	0.008656388	0.017515976	0.105312824	0.047846917	0.52253413	0.08203461	0.031069744	0.010707496	0.030441253	0.0067470972	0.0067565823	0.05128821	0.051314995	0.026291322
s	2.7098984e-06	4.7890793e-05	0.00015496978	0.0015508769	0.0023121852	0.07844815	0.19439189	0.67622435	0.017351141	0.013925451	0.010159552	0.0019360991	0.0010757019	0.00050876616	0.001910178
p	0.0031337992	0.003952569	0.004493567	0.005933622	0.013348472	0.029723177	0.4750242	0.060805667	0.11206818	0.07047046	0.00684347	0.19009422	0.010485267	0.002255145	0.011368212
ì	0.00013177955	0.00078121125	0.0020149567	0.018061679	0.01608731	0.22019815	0.051940184	0.13406828	0.024362093	0.15615489	0.07447641	0.013828594	0.11632124	0.12266911	0.048904113
t	0.00045485317	0.0005498053	0.001147985	0.0009024182	0.015628736	0.008664161	0.29819036	0.24267283	0.23151995	0.12458016	0.033476986	0.029448006	0.0052269744	0.0019545937	0.0055821803
i	0.009728855	0.010040693	0.010780529	0.011630326	0.021354428	0.024204995	0.3964107	0.11240423	0.10350105	0.114101134	0.02354345	0.023395047	0.034683697	0.03618473	0.068036124
o	2.7318697e-06	1.7541593e-05	4.288804e-05	0.0003209658	0.0005305179	0.011334874	0.04690886	0.7827006	0.040648494	0.07098343	0.027350843	0.0020831178	0.0023622676	0.0030814274	0.011631393
è	7.027521e-07	3.907643e-05	7.5028743e-06	1.1369438e-05	2.4446595e-05	0.00019252975	0.0057518254	0.620621	0.23744494	0.022103455	0.078104585	0.03464865	0.00045874258	0.00016269227	0.0004284713
s	4.16299e-05	0.00018495906	0.00013228758	7.057779e-05	0.00032127535	0.00027855075	0.021152724	0.19142315	0.52000374	0.0535545	0.10152029	0.107345484	0.0033927634	9.430078e-05	0.00048381745
s	0.0013687222	0.0012905921	0.0014123869	0.0015205978	0.004904734	0.0059549473	0.19091287	0.17222968	0.15916282	0.13674174	0.06198211	0.04107945	0.052572966	0.06329979	0.10556662
