 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
M	0.92785347	0.017170634	0.021691531	0.01660374	0.009243991	0.00302615	0.00020976487	0.0010221943	0.0031784147
a	0.97530997	0.023452561	0.0011792076	1.45509275e-05	3.7819896e-06	5.971167e-07	1.0308848e-05	1.9537538e-06	2.6922786e-05
r	0.98716754	0.011561183	0.00055564905	0.0005370454	0.000105899315	4.870207e-06	1.2307255e-05	3.6185852e-06	5.188545e-05
ì	0.18626392	0.3687327	0.10417814	0.12866507	0.0739455	0.015353652	0.09916888	0.0018158071	0.021876335
s	0.08115237	0.76115096	0.046543844	0.08069316	0.01911256	0.004876185	0.003324442	0.00086796307	0.002278532
a	0.082719915	0.47621238	0.061711676	0.055170104	0.039805014	0.07787448	0.17795135	0.0041291863	0.024425901
e	0.0013119007	0.9608142	0.030732844	0.0058086673	0.0012922146	1.2217198e-05	2.2019978e-05	7.473641e-07	5.2272117e-06
N	0.0002907585	0.28850132	0.6438517	0.06469267	0.0025972114	1.7762002e-05	2.4985e-05	5.099681e-07	2.2995868e-05
ì	0.0016467421	0.17240174	0.67374146	0.14168024	0.010287992	0.00010054526	9.398871e-05	1.2379685e-05	3.491037e-05
c	0.0023043326	0.06363246	0.5903622	0.3240984	0.019385679	7.278634e-05	7.589818e-05	1.3979562e-05	5.4365755e-05
h	0.0014988129	0.057630733	0.83996886	0.05451104	0.0015630362	0.00014035687	0.00044141186	0.00772098	0.03652481
o	0.016798034	0.01404453	0.94654775	0.017458575	0.0013942359	9.156659e-05	0.00038361677	0.0006930914	0.002588575
e	0.00029581014	0.00385159	0.073311426	0.81470704	0.097011566	0.0008165294	0.00039746106	0.00016415428	0.00944454
n	0.0002107374	0.001372065	0.03665205	0.56118995	0.39786845	0.0013442636	0.00092673814	2.8882674e-05	0.00040684766
è	0.003197629	0.010466513	0.19033541	0.30766952	0.13452671	0.007971558	0.0071154414	0.14168347	0.19703378
c	0.002694439	0.0012066404	0.010604657	0.29358017	0.3885022	0.24254438	0.047103975	0.0049956506	0.008767812
h	0.009214241	0.015603139	0.13246071	0.20438418	0.26520428	0.120714046	0.04925189	0.09305822	0.1101092
u	0.05926657	0.04793945	0.26410323	0.2827612	0.08494819	0.09475229	0.026992377	0.015377128	0.12385956
n	0.00018728999	0.00037924974	0.0009990047	0.014748804	0.08902903	0.6309363	0.2118439	0.003546506	0.04833
f	0.008682661	0.009200818	0.017026864	0.031506695	0.10251439	0.4700219	0.3136746	0.03509166	0.012280425
a	0.017244216	0.03999927	0.06266636	0.059622757	0.05444909	0.17354448	0.14849915	0.19402705	0.24994765
m	5.7774978e-05	0.00052065466	0.0012204769	0.006818004	0.01552014	0.42061752	0.13317718	0.2656452	0.15642308
è	0.0022599827	0.0025118736	0.004825436	0.0080157695	0.03227151	0.37141895	0.52735615	0.04524576	0.0060945353
n	0.0026292878	0.0014151988	0.0015427361	0.009432239	0.042573873	0.39022946	0.31616393	0.11124419	0.12476908
a	0.035191223	0.02949149	0.0341564	0.03676043	0.055258803	0.3176929	0.39999047	0.057351366	0.034106955
m	8.3275605e-05	0.00021984373	0.00030235175	0.0005008165	0.0016223924	0.028048676	0.04281683	0.57540977	0.35099602
a	0.0020922066	0.0020372781	0.0023044758	0.0030253998	0.0060194633	0.07400573	0.106322125	0.7233511	0.080842264
i	2.6176336e-05	6.7069595e-05	6.907697e-05	0.00012684266	0.00043880843	0.0055384454	0.014466187	0.57555145	0.4037159
</S>	0.00021892214	0.00019231629	0.000106416	0.00029221748	0.0018357023	0.0040103095	0.027538795	0.31690082	0.6489045
