 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.98120743	0.0073373835	0.0015451876	0.0023154758	0.00048429158	0.005313361	0.0007270053	0.000712112	0.00021649699	1.3004954e-05	0.00012835099
a	0.6269138	0.34519824	0.0031368923	0.0062018577	5.088239e-05	0.018145204	5.280185e-05	4.6242123e-05	0.00022908053	4.73048e-08	2.4958317e-05
p	0.0069206194	0.99220324	0.0004588207	0.00039515982	2.2674843e-07	2.1885102e-05	3.915633e-08	2.066587e-09	7.553367e-09	4.0044432e-10	1.0636057e-08
e	0.049458146	0.37569356	0.35951912	0.1902042	0.00261976	0.01454367	0.007266109	0.00013601228	0.00024578	3.3067963e-07	0.00031322858
d	0.01041741	0.98586893	0.002623063	0.000556007	3.3504946e-06	0.0005301493	8.85226e-07	5.346304e-08	1.7015248e-07	9.059043e-10	1.04887995e-07
ì	0.055928625	0.4958318	0.42519072	0.004031812	0.00043855404	0.011030869	0.005268129	0.00017343709	0.0009335008	8.810151e-06	0.0011638625
a	0.015625017	0.656387	0.31260672	0.008639987	0.00092400063	0.004132921	0.0004459272	0.00035257635	0.00031055033	6.582449e-05	0.00050947274
m	0.0006047402	0.24551441	0.7162195	0.036338314	2.1242473e-05	0.0012928973	8.056569e-06	1.6977066e-07	2.8339898e-07	1.5369032e-08	4.7337898e-07
i	0.01173928	0.08132276	0.6939406	0.04813544	0.0036566595	0.01754703	0.0015736872	0.0014966839	0.031717483	0.007714062	0.10115633
n	0.00032751355	0.014319961	0.95088685	0.03192212	0.0003108684	0.0018426566	3.795722e-05	2.5478007e-06	5.5781443e-06	5.1373496e-07	0.00034343626
c	0.013440935	0.056347366	0.8291895	0.03869359	0.0024145383	0.022094037	0.0008864543	0.0005030365	0.008322371	0.0035576862	0.024550505
i	0.0024445045	0.25957608	0.66898	0.02396824	0.0006878356	0.0006768321	0.00015825598	6.111986e-05	0.0010019223	0.00078747974	0.04165777
à	0.00052106386	0.016026571	0.7794283	0.18843071	0.003683843	0.011306651	0.00015610068	2.2814493e-05	3.931415e-05	9.706364e-06	0.0003749351
è	0.0023000443	0.0054516494	0.57448465	0.4080164	0.0019459062	0.0064804708	0.0008410954	0.00023940716	0.0002189254	1.6633109e-06	1.9720092e-05
r	0.00072252355	0.0013613725	0.26268473	0.71651644	0.011986849	0.004494175	0.0017762986	0.00023372074	0.00017084737	1.3154165e-06	5.182199e-05
k	0.022327553	0.026489541	0.29313368	0.18140502	0.12663096	0.057207424	0.018591635	0.009270559	0.12689263	0.0037120292	0.13433897
u	0.0955655	0.106697634	0.5233628	0.20218377	0.042440657	0.0068775294	0.0014876104	9.888574e-05	0.00048855523	0.0017489261	0.019048108
t	0.0002768198	0.0020174382	0.03616009	0.31787774	0.50292087	0.12925854	0.00623068	0.00015938343	0.00035767007	4.530584e-06	0.004736219
t	0.01314481	0.015108417	0.045124073	0.057503924	0.607514	0.11385903	0.07053407	0.005577196	0.024497265	0.006479988	0.040657237
e	0.010463504	0.14295349	0.036823213	0.053807642	0.28947988	0.0714516	0.075268075	0.061643433	0.15327153	0.056549985	0.048287634
n	6.50773e-05	0.0024343182	0.0061220755	0.09956761	0.52335584	0.2984618	0.05757906	0.0032270858	0.007278494	5.181823e-05	0.0018568215
d	0.0034976178	0.0041734762	0.0293115	0.04959083	0.6744652	0.09617524	0.12178838	0.0011633497	0.007006372	0.003981233	0.0088468725
i	0.0031614678	0.0074851885	0.010158806	0.018135224	0.57943004	0.0314518	0.033506352	0.00039734298	0.0011229983	0.005561966	0.30958876
