 	non	ci	dimentichiamo	mai	</S>
e	0.99460655	0.00035021332	0.0038653468	0.0003464108	0.00083137554
n	0.31338394	0.6865921	2.5556557e-07	7.257952e-07	2.2940516e-05
è	0.38816208	0.02344817	0.046773896	0.22689204	0.31472382
n	0.8009194	0.17083742	0.008915265	0.0058497125	0.013478181
a	0.84205866	0.06442062	0.0008350938	0.017077634	0.07560794
a	0.03966045	0.6900574	0.015680049	0.027298277	0.22730382
l	0.009712673	0.73344404	0.16965175	0.030526284	0.056665245
l	0.0021590174	0.004074647	0.8441045	0.11985691	0.029804982
i	0.012144303	0.0066607255	0.54059315	0.27659225	0.16400954
m	0.0002928945	0.0050859344	0.15305649	0.54769105	0.29387364
o	0.0149879465	0.017995622	0.9202479	0.040943313	0.005825185
n	0.017017767	0.09181794	0.5771566	0.21456733	0.099440426
i	0.016413584	0.019266963	0.28463894	0.62091285	0.058767673
s	0.00040850416	0.0034493816	0.19055036	0.71658623	0.08900552
t	0.008302983	0.010750025	0.4078187	0.5541306	0.018997608
ù	0.0011717214	0.0010377808	0.009406184	0.9331081	0.055276178
m	0.011285117	0.040310703	0.10281386	0.4394402	0.40615013
e	0.033354245	0.04083607	0.14223295	0.6843302	0.09924658
s	2.5697695e-05	0.00010452834	0.0006949539	0.7296003	0.26957446
t	0.0020930439	0.003810104	0.023456745	0.848168	0.12247216
a	6.0785584e-05	4.7847214e-05	0.000214748	0.7876915	0.2119851
m	5.113405e-06	2.5346468e-05	0.0007693368	0.5029631	0.4962371
à	0.0037450613	0.0070347455	0.087499455	0.7799916	0.12172914
i	0.0021167248	0.005756794	0.004141209	0.6983704	0.2896149
</S>	7.316713e-05	0.00077699166	0.0033154425	0.26781645	0.7280179
