 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.933414	0.054346453	0.0052339854	0.002200649	0.0033074585	0.0002814454	0.0012160465
t	0.9031856	0.07929197	0.0016904225	0.014041512	0.00021266649	0.00028566417	0.0012921931
e	0.63576204	0.067639574	0.056059297	0.207691	0.025784397	0.003631757	0.003432043
k	0.10643969	0.8771281	0.0046462044	0.011779007	2.6840548e-06	2.8330649e-06	1.4817206e-06
a	0.2985143	0.1876663	0.080810174	0.26973987	0.00234367	0.020386256	0.14053947
m	0.010563185	0.97992516	0.0038484973	0.0005248513	1.3022488e-05	7.816213e-05	0.0050471285
m	0.031683203	0.041094907	0.8434946	0.009488355	0.00068776554	0.025496248	0.04805487
è	0.1636738	0.22071807	0.04836324	0.02157296	0.00053711556	0.02044223	0.5246926
n	0.25810844	0.67348295	0.03290948	0.03156633	0.00012762092	0.00281098	0.000994211
i	0.29709697	0.36358675	0.1532452	0.017046275	0.0030274978	0.04078592	0.12521139
s	0.00091273675	0.013505259	0.9438636	0.040639456	0.00035739125	0.00010123985	0.00062040024
t	0.027368352	0.031375427	0.71123636	0.05153018	0.01794201	0.037787814	0.12275986
o	0.15128331	0.10074913	0.29478273	0.03714629	0.31649765	0.059677992	0.03986297
g	0.00028464114	0.003026333	0.82704145	0.15755518	0.004091482	0.005427642	0.002573195
i	0.008443293	0.008096703	0.8529246	0.08638526	0.005745081	0.014726214	0.023678783
a	0.00018065594	0.00079603354	0.10406666	0.8471019	0.004204256	0.0014742902	0.04217621
r	7.2055765e-05	0.0005899803	0.057166822	0.91756976	0.0133868195	0.0077260407	0.0034885006
d	0.0055521294	0.007033773	0.2426616	0.07441724	0.25989088	0.3034951	0.10694924
ì	0.019978259	0.023768807	0.08848136	0.09648388	0.116084866	0.102040574	0.5531623
n	0.0043977946	0.02738485	0.1408308	0.6189878	0.1537018	0.019284906	0.03541204
o	0.0657727	0.06800674	0.48582357	0.22304772	0.13259476	0.0139123965	0.010842097
s	0.00010534613	0.00028216242	0.0021649797	0.029165305	0.825391	0.05108454	0.09180672
t	0.01711724	0.01918375	0.04616109	0.041829493	0.66047114	0.19602725	0.019210085
o	0.011955198	0.006367182	0.015353803	0.021042332	0.64906126	0.13573766	0.16048257
c	3.1975156e-05	7.399447e-05	0.00044880068	0.005274181	0.7462221	0.19733828	0.050610628
ì	0.0039240005	0.004347352	0.043205258	0.026667183	0.5538601	0.282506	0.085490055
p	0.0009393961	0.006696539	0.009037147	0.070698865	0.24639939	0.5482693	0.117959395
o	0.00061556906	0.0008944327	0.0012566372	0.0018145865	0.066007875	0.8828703	0.046540525
</S>	3.144567e-05	8.243234e-05	5.922647e-05	0.0007253967	0.045138992	0.2795639	0.6743986
