 	che	non	li	aspettiamo	</S>
n	0.97643095	0.0028550518	0.012795954	0.00025449175	0.0076635894
a	0.9638946	0.022807851	0.0011051268	5.617357e-05	0.012136159
m	0.08771326	0.89861894	0.012509912	2.2021686e-05	0.001135849
i	0.0031946157	0.095779456	0.07419957	0.8118025	0.0150238555
t	0.03567078	0.8390004	0.074425444	0.03360312	0.017300328
u	0.042885732	0.08636396	0.13109657	0.65758526	0.0820685
s	0.002204715	0.09576764	0.5615893	0.07847529	0.261963
m	0.005949741	0.010822049	0.028038543	0.94978315	0.0054065445
ì	0.035532895	0.06587302	0.11296992	0.2888202	0.49680394
n	0.2414432	0.56827396	0.040689252	0.13034345	0.019250134
o	0.3392925	0.28692296	0.036587667	0.30885175	0.02834517
m	0.0023972248	0.009066275	0.07115285	0.53299105	0.38439256
e	0.005325627	0.007816631	0.020680137	0.9103275	0.05585006
</S>	0.00028520531	0.00059047184	0.011533051	0.15120146	0.8363898
