 	ho	cosa	a	fare	</S>
è	0.9752973	0.003546635	0.008583905	0.0026995183	0.009872658
c	0.27912468	0.72034264	0.00043326904	4.7312773e-05	5.205432e-05
h	0.0441978	0.33628878	0.16338235	0.12521584	0.3309152
o	0.22214118	0.6288609	0.00039667106	0.11407974	0.034521557
t	0.016499277	0.89397734	0.08617968	0.001591181	0.0017525565
i	0.08167188	0.10718295	0.084714375	0.1124701	0.61396074
k	0.00012118092	0.0036133237	0.982832	0.0034381123	0.009995287
à	0.0053055254	0.014836171	0.05530297	0.82322073	0.101334535
i	0.022096705	0.031978127	0.08132188	0.65931654	0.20528671
</S>	0.00014222965	0.0006351299	0.047278073	0.01179389	0.9401507
