 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.9916646	0.002987065	0.0007815932	0.0011430529	0.0024644341	0.0002867832	0.0006724335
ì	0.93664795	0.063312225	4.064052e-06	3.5235144e-07	3.170889e-07	7.0685775e-07	3.4386245e-05
s	0.8522164	0.13194875	0.009439308	0.005275984	0.0008014693	7.5844546e-05	0.00024220817
i	0.57113403	0.399015	0.005033909	0.008569707	0.011032229	0.0025267513	0.002688397
f	0.058251727	0.8636472	0.07187406	0.0058702216	0.00034975476	2.482655e-06	4.663118e-06
a	0.06935623	0.22218677	0.29553017	0.07663043	0.18823987	0.069761686	0.07829489
m	0.0055457256	0.19041194	0.7558078	0.04163334	0.0050728912	0.00043741733	0.0010908414
ì	0.02289979	0.09546529	0.7118785	0.12244654	0.0076163495	0.01837908	0.021314465
g	0.013123123	0.50594944	0.20362751	0.25433245	0.012724362	0.004252269	0.0059909155
l	0.10424656	0.2514266	0.3945701	0.13200374	0.010920672	0.026983134	0.07984926
i	0.15356278	0.1596766	0.10597342	0.06337535	0.027017476	0.011355321	0.47903895
a	0.003011388	0.005804525	0.24446414	0.6692287	0.04584911	0.0077840383	0.023858067
e	0.00026684435	0.00038191004	0.06235887	0.87500536	0.052446723	0.0044838907	0.005056387
n	2.6114614e-05	0.00015770772	0.031545527	0.57757413	0.38530105	0.004525276	0.00087025476
è	0.0012153097	0.002468051	0.02038296	0.12593555	0.35922948	0.4266865	0.06408216
c	0.00021049153	0.00130856	0.0035882937	0.04403221	0.8694046	0.07483979	0.0066160215
h	0.0013728744	0.0017844299	0.005878045	0.028140437	0.1653157	0.75027996	0.047228537
i	0.016122915	0.020451017	0.011669488	0.030767778	0.12950143	0.7026573	0.08883008
n	0.000318685	0.0017564816	0.002484729	0.010457938	0.79803765	0.16713378	0.019810677
a	0.0029790616	0.0034154863	0.004256558	0.006751969	0.027734825	0.93794304	0.01691912
f	8.120899e-05	0.00034034532	0.00058919116	0.0019205126	0.18559563	0.523771	0.28770217
à	0.004342753	0.00472153	0.004775646	0.004057147	0.01028641	0.69058186	0.28123468
i	0.0008057646	0.0014058212	0.0012074762	0.0028147115	0.043027584	0.56366354	0.38707513
</S>	1.1188028e-05	2.318715e-05	4.0784038e-05	0.000102548365	0.0039926455	0.042117108	0.9537126
