 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.97140706	0.01566998	0.0017313586	0.0005559295	0.0020741457	0.002614565	0.0043871766	0.00072508503	0.00083470944
c	0.9393178	0.06006476	0.00021272883	0.00039972717	2.7432945e-06	9.87345e-07	7.721732e-07	7.2920685e-08	4.1499632e-07
h	0.036415245	0.10079403	0.5041137	0.12259675	0.13856655	0.076922566	5.1315856e-05	0.001139818	0.01939999
r	0.8010301	0.17578147	0.017484529	0.001807839	0.00019616506	0.00012524487	1.1437968e-05	0.00032697376	0.003236264
ò	0.4824289	0.024346627	0.029993739	0.011846892	0.06940535	0.052288715	0.008632423	0.061110135	0.25994718
n	0.031140313	0.63482666	0.23454496	0.05365251	0.026744293	0.014676769	0.0017791243	0.00023068656	0.0024047298
o	0.11783885	0.7895392	0.08577767	0.001931012	0.0012376799	0.00036381927	4.2489737e-06	2.3777677e-05	0.0032837943
k	0.001990026	0.29984963	0.6418843	0.04961571	0.005549004	0.0010626143	1.3899856e-05	2.008874e-06	3.271653e-05
a	0.011247535	0.15790588	0.68028384	0.044186436	0.04030408	0.008239135	0.00011457188	0.00087517727	0.05684327
m	0.0003368197	0.06706315	0.730157	0.18582043	0.014691106	0.0013892774	7.149614e-06	4.1011226e-06	0.00053105055
b	0.010916925	0.07235662	0.5889077	0.19664744	0.07521694	0.011083653	0.00014818074	0.0011245798	0.043597963
è	0.012971331	0.4513812	0.42101914	0.05444325	0.020431291	0.0016961334	1.899073e-05	0.0003038001	0.03773496
n	0.014767636	0.057776682	0.2615681	0.3385858	0.22603664	0.07318959	0.018083345	0.0027804107	0.007211811
n	0.104894154	0.17880401	0.43676627	0.13847408	0.08349723	0.015331199	5.2736843e-05	0.0003905509	0.041789778
i	0.117051855	0.3254121	0.18875599	0.14347827	0.07356592	0.012091756	0.0016269898	0.005506524	0.13251063
è	0.00015180444	0.0034816582	0.016216062	0.026372705	0.8754888	0.07779911	4.1647243e-05	9.10178e-06	0.00043911097
n	0.0009117895	0.0020660448	0.006816895	0.077453494	0.5514013	0.35868633	0.0007484317	0.00015445784	0.001761266
a	0.01626739	0.020070752	0.065141864	0.06788877	0.4488843	0.24104367	0.00010695487	0.0034363593	0.13716002
f	7.477847e-05	0.000225284	0.00070543366	0.005798596	0.2669563	0.6997381	0.0021657585	0.00080593175	0.02352988
à	0.026551746	0.019668926	0.04528769	0.06573995	0.14327022	0.41720164	0.00690274	0.0627278	0.21264929
o	0.0014192157	0.0017828441	0.0062616495	0.021336598	0.24985047	0.42634782	0.16539341	0.06411635	0.06349163
p	0.00040251313	0.00069593947	0.00045362714	0.001927713	0.018161558	0.09057851	0.5341419	0.05561676	0.29802144
o	0.00031004418	0.0003029068	0.0004877077	0.0007710966	0.0027676122	0.012940271	0.3717037	0.5218086	0.088907965
d	7.4371687e-06	2.6068818e-05	1.556042e-05	3.9757517e-05	0.0008620277	0.0022774327	0.8383286	0.050693784	0.10774926
d	0.0053518405	0.0053908117	0.007902612	0.010235614	0.023833176	0.0723232	0.42212975	0.3514797	0.10135327
h	0.0031616264	0.0030253388	0.0035057843	0.003813804	0.006515316	0.0090628555	0.6359378	0.24930392	0.08567351
à	0.0013615612	0.0016491561	0.0014742323	0.0019973277	0.0033611066	0.0039855214	0.54330087	0.36056492	0.08230528
g	0.0011750665	0.0009252901	0.001623656	0.0033318894	0.0073959385	0.01548948	0.2856572	0.456198	0.22820355
l	0.01015149	0.010048595	0.010837279	0.011602518	0.01405314	0.019743005	0.22240779	0.65193594	0.04922026
i	0.00075825496	0.0012761736	0.0008276413	0.00087389257	0.0017991285	0.0015897102	0.15255333	0.7321868	0.10813509
c	5.082267e-05	8.0120844e-05	5.535457e-05	8.076155e-05	0.00013297462	0.0002579872	0.026916645	0.399745	0.57268035
è	0.0002519314	0.0002528405	0.0002691314	0.00029287933	0.000375398	0.0005634593	0.06674169	0.8285164	0.10273632
a	0.0077157165	0.0036122561	0.00487835	0.009964678	0.0022827645	0.00496049	0.021095868	0.7322277	0.21326227
</S>	5.685358e-05	3.6086847e-05	5.0903425e-05	0.00010546338	5.6042274e-05	0.00020016945	0.0021350167	0.19020279	0.8071567
