 	è	che	stanno	ancora	svegli	</S>
è	0.9710212	0.013806318	0.0064814393	0.0037908147	0.0012317776	0.0036685255
n	0.8736941	0.099865966	0.01849366	0.007927969	1.2947979e-05	5.3998065e-06
a	0.69654244	0.15690786	0.083094925	0.058198936	0.0010689894	0.0041868677
s	0.005125995	0.4400187	0.4994708	0.052904513	0.000912337	0.0015676024
t	0.010972147	0.18321098	0.5910568	0.02628071	0.020766543	0.16771287
a	0.07694185	0.5046906	0.2995967	0.003099735	0.011574449	0.10409666
t	0.0022702802	0.08727425	0.8412512	0.023167381	0.0095358975	0.036500923
ù	0.1046395	0.25198248	0.43252504	0.06824851	0.023528315	0.11907608
n	0.021717241	0.058625143	0.3707554	0.5199475	0.015907928	0.013046711
e	0.09817862	0.27999696	0.5555474	0.026420617	0.014668627	0.02518776
a	0.0017713933	0.010661048	0.17110531	0.54997	0.014839046	0.2516532
n	0.00022093818	0.0018249037	0.017306205	0.7275797	0.23613216	0.016935976
k	0.008302015	0.027069852	0.075218186	0.2470327	0.37728047	0.2650968
ò	0.015418798	0.017183991	0.07741285	0.050030854	0.0048217876	0.8351317
r	0.007506188	0.007089921	0.024967367	0.89490443	0.011813684	0.053718418
a	0.15732111	0.17123449	0.19984967	0.3822274	0.044685926	0.04468148
a	0.0008206438	0.0034553064	0.022591297	0.2024035	0.37298703	0.39774224
t	3.182016e-05	0.00011428355	0.00030998932	0.06776067	0.89445925	0.037323978
s	0.0006950704	0.0019447181	0.0032809358	0.15983564	0.7805685	0.053675193
ù	5.787749e-05	9.412128e-05	0.00014466923	0.0021239796	0.0572619	0.9403175
n	0.0001464646	0.00013353494	0.00025988708	0.038943753	0.89997554	0.060540892
n	0.0037019842	0.0044649728	0.004572692	0.031055601	0.86227894	0.09392591
i	0.045021236	0.029159257	0.030724984	0.09474735	0.4429293	0.35741782
t	0.0002434572	0.00035020208	0.00034115577	0.034393612	0.87454146	0.09013
i	0.0014479702	0.001627288	0.0015127542	0.005343677	0.06294973	0.9271186
</S>	4.926752e-06	1.42881245e-05	1.5347687e-05	0.00067254715	0.17478302	0.82450986
