 	voglio	che	Maria	viene	domani	</S>
t	0.2924634	0.47440675	0.017630795	0.01924618	0.17010753	0.026145313
è	0.018239371	0.0064299125	0.11347934	0.070871845	0.78303057	0.007948982
l	0.9702988	0.027907066	0.0016019132	9.518091e-05	5.6391964e-05	4.059813e-05
o	0.82859397	0.10761926	0.018048402	0.010526917	0.02794012	0.00727137
e	0.0313982	0.893544	0.067758895	0.0063236523	0.0009260271	4.9130882e-05
M	0.006717998	0.16343133	0.51648426	0.14336848	0.15393132	0.016066588
a	0.145219	0.1969488	0.3505117	0.16339716	0.113030344	0.030893058
r	0.088551566	0.8914023	0.010935273	6.379817e-05	0.0029188525	0.0061283703
ì	0.103988245	0.4860462	0.021214388	0.011659992	0.022287248	0.35480398
a	0.064411774	0.14857054	0.42085993	0.073688775	0.22528116	0.067187764
n	0.0018431164	0.021347284	0.6767649	0.066686854	0.046924897	0.18643296
a	0.017770968	0.23840052	0.2716014	0.0554541	0.042557586	0.37421545
r	0.0005479612	0.0025416997	0.21892473	0.15759973	0.5667941	0.05359177
t	0.1608539	0.29787046	0.12556392	0.12343037	0.015881825	0.2763996
i	0.029337091	0.07677296	0.63410527	0.055038244	0.008783631	0.19596288
à	0.00026446598	0.0016381986	0.27420333	0.2680295	0.07795694	0.37790757
v	0.0047606174	0.012861105	0.044303223	0.13146706	0.48116636	0.32544166
v	0.06418192	0.114856504	0.12661609	0.16088636	0.32433754	0.20912163
r	0.075002275	0.07347809	0.5767528	0.123482406	0.11131205	0.039972384
i	0.031185782	0.032974467	0.06781147	0.07386783	0.2981684	0.4959921
</S>	8.719078e-06	2.7340762e-05	0.00033212078	0.001006802	0.18446712	0.81415784
