 	non	deve	magniare	la	sera	</S>
e	0.9930363	0.0052914703	0.00024161742	0.0009224783	4.4918725e-05	0.00046320187
n	0.95747817	0.036560934	0.0059383963	1.3630399e-05	6.9367875e-06	1.9174183e-06
è	0.17510623	0.036460817	0.115649946	0.29141766	0.27041373	0.110951655
n	0.048053518	0.6934935	0.25742164	0.0007819216	8.033524e-05	0.00016916354
a	0.11325387	0.3329396	0.54958194	0.0010249687	0.00077767606	0.0024218764
f	0.0011713261	0.05145121	0.91098267	0.010411941	0.024598049	0.001384984
à	0.10252672	0.15540966	0.46426833	0.13629654	0.07587335	0.06562542
i	0.0055586966	0.03536623	0.73512995	0.18361588	0.025701363	0.014627851
t	0.0004892383	0.0013549597	0.0037376953	0.980414	0.010766785	0.0032373474
o	0.0038486486	0.0056777503	0.013165038	0.19932756	0.45001677	0.3279642
v	7.731763e-05	0.0003396447	0.00035587585	0.95675886	0.0089839315	0.033484317
r	0.006722809	0.00926599	0.01698058	0.18199097	0.63401675	0.15102293
à	0.0027629705	0.0055149826	0.004476595	0.12760669	0.056894336	0.80274445
i	0.0018898983	0.0042526443	0.031767562	0.044266623	0.8527531	0.065070204
</S>	0.00057537714	0.0008724139	0.0013850676	0.035751645	0.15794839	0.8034671
