 	non	aveva	da	stare	</S>
e	0.9579893	0.018922837	0.0017702294	0.016626175	0.0046915202
n	0.9979668	0.0015003002	0.0003293804	2.0473872e-05	0.0001830186
ì	0.06348656	0.005052754	0.11986505	0.07302538	0.7385702
c	0.018012919	0.96139765	0.012613059	0.002492558	0.0054838792
h	0.0066246176	0.7502521	0.21530227	0.015411205	0.012409803
e	0.009214225	0.82652557	0.12497188	0.0067698243	0.03251847
n	0.00280149	0.030060403	0.8711482	0.08787505	0.00811487
a	0.058137458	0.05661539	0.7343647	0.12924519	0.021637257
s	1.8705614e-05	5.351488e-05	0.012253932	0.98430437	0.0033694808
t	0.036682557	0.012847888	0.1179338	0.7903411	0.042194754
a	0.00040690505	0.0018440416	0.0034994562	0.98909914	0.005150369
s	8.673881e-06	4.5896693e-05	0.0011250934	0.99088377	0.007936533
ì	0.027423082	0.0007150291	0.013295025	0.41052034	0.5480465
</S>	0.001107575	0.00072314247	0.0077753337	0.06717388	0.92322004
