 	che	non	li	aspetiamo	</S>
n	0.9778867	0.0029884186	0.011690227	0.00024900958	0.007185699
a	0.963345	0.023574982	0.0010373738	4.410241e-05	0.011998544
m	0.08575597	0.90109766	0.012047317	1.824237e-05	0.0010808397
i	0.0033067889	0.095672704	0.081004515	0.804086	0.01592994
t	0.03580164	0.8408718	0.07310761	0.032851826	0.017367022
u	0.036565196	0.07253019	0.1096353	0.709248	0.072021335
s	0.0023136158	0.09680418	0.5543038	0.08229858	0.2642798
m	0.0054954956	0.009840537	0.025121387	0.9544727	0.0050698407
ì	0.03739202	0.06792597	0.11847871	0.3052255	0.4709779
n	0.24675721	0.5843835	0.041192695	0.108842105	0.018824423
o	0.35033605	0.29569107	0.038815077	0.28686917	0.028288592
m	0.00228153	0.008958361	0.06900981	0.53884566	0.3809047
e	0.0055675865	0.008143412	0.022095146	0.9057214	0.058472414
</S>	0.00028110034	0.0005892751	0.010965864	0.15703171	0.831132
