 	è	che	sono	usciti	</S>
è	0.87199086	0.011265615	0.051937725	0.013254923	0.05155087
n	0.9971324	0.002469307	0.00016599809	0.00013608558	9.613245e-05
a	0.6346332	0.03362616	0.20011427	0.003249591	0.12837683
g	0.0068953387	0.566531	0.4215794	0.0005971392	0.004397114
u	0.00020518134	0.008912781	0.071566746	0.9023104	0.01700502
ì	0.0008408026	0.03531497	0.78975	0.1595933	0.01450097
k	0.007776976	0.06351162	0.9116718	0.007400404	0.009639161
a	0.0065205977	0.010372933	0.055595927	0.8358899	0.09162069
n	0.0018647072	0.018871404	0.8149244	0.015048845	0.14929058
e	0.0005975718	0.00087468256	0.006241645	0.978299	0.013987156
</S>	0.00010109929	0.0014990349	0.07826783	0.004710867	0.9154211
