 	viene	fabbricato	</S>
è	0.015089857	0.60847604	0.37643403
r	0.9998312	5.2079133e-05	0.00011670986
k	0.24945073	0.5197686	0.23078068
e	0.22840552	0.030922994	0.74067146
t	0.72265464	0.11547916	0.16186629
e	0.12936209	0.45184547	0.4187924
f	0.36061776	0.5921476	0.047234643
a	0.016863931	0.8004754	0.18266065
b	0.008323569	0.5640738	0.4276026
b	0.013620312	0.6757414	0.3106383
r	0.0003403762	0.06547541	0.9341842
i	0.020852685	0.63324004	0.34590733
k	0.010179343	0.7966006	0.19322
à	0.019870752	0.6808736	0.2992557
t	0.047950096	0.91470045	0.0373494
o	0.02238221	0.29149413	0.68612367
</S>	0.00012412453	0.041708544	0.9581673
