 	l	ho	sentito	che	viene	</S>
a34	0.02487946385	0.02816460445	0.8193508	0.124687339	0.00176659077	0.0011511525815
a46	0.0340456326167	0.0375928918167	0.836719933333	0.0884642423333	0.00272813973667	0.000449104824833
a41	0.0339947098722	0.0332827439389	0.859550121111	0.0691606441111	0.00378616664556	0.000225585284944
a19	0.0492128846241	0.0250606349796	0.87828215037	0.0425236977037	0.00474321241519	0.000177417841648
a31	0.271537739541	0.0120511782265	0.67700093679	0.0273658135679	0.0102921314717	0.00175223412722
a20	0.353103176514	0.0048163518755	0.32420567993	0.0190146841893	0.292030623824	0.00682952790907
a31	0.187253642171	0.00378863329183	0.202199607643	0.0524444297298	0.531729041275	0.0225846759697
a24	0.108103610057	0.00351295173061	0.183794515881	0.0838387965766	0.582721213758	0.0380289476566
a31	0.0497726453523	0.00290259144354	0.103869778627	0.0718787855255	0.633781437919	0.137794772552
a23	0.0272185371174	0.00362876524785	0.048846102309	0.0540893845085	0.693754345973	0.172462850851
a20	0.0168871409058	0.00343496058262	0.0183063133363	0.0370707518362	0.829832901991	0.094467934617
</S>	0.0112382592529	0.00263064489131	0.0103737013681	0.0291691274181	0.868240830996	0.0783474538085
