 	lo	sentii	che	viene	</S>
a43	0.281482474	0.698253345	0.0154538665	0.00475637305	5.39530425e-05
a17	0.100289611333	0.884466848333	0.00856916223333	0.00662752325	4.68768311667e-05
a11	0.041746183111	0.948617442778	0.00390574247778	0.00569703198333	3.36276523889e-05
a31	0.0226110853703	0.971139427593	0.00211685422593	0.00409670099444	3.5971255463e-05
a46	0.0631585607901	0.907356125864	0.00439210114198	0.0248968346648	0.000196394066488
a6	0.22545402693	0.706050991955	0.0129828590473	0.0550307282216	0.000481421608829
a31	0.271831388977	0.665486097318	0.0167682803491	0.0454749304072	0.00043932805961
a15	0.151073514992	0.509598846439	0.013150437783	0.315642611136	0.0105346156899
a20	0.075361023664	0.181440356813	0.00897344089433	0.697995757045	0.03622945223
a31	0.116676901221	0.267607932938	0.0137611435981	0.553252169015	0.0487018807433
a17	0.144787290407	0.296459833313	0.0166139637327	0.491440686338	0.0506982662478
a31	0.0767446008023	0.410593013438	0.00992366324423	0.449714618779	0.0530240850826
a13	0.100273930934	0.461290732146	0.0141483325481	0.346063962926	0.0782230033609
a39	0.116664361978	0.218107661715	0.018135601516	0.491372277642	0.155720104454
a46	0.056535736326	0.164355003905	0.013048711272	0.443630135881	0.322430434818
a31	0.0230818226753	0.326237641302	0.0102475261907	0.264183716627	0.376249284939
a18	0.0159334001251	0.351288330434	0.0136458827302	0.318500390209	0.300631968313
</S>	0.0195791890626	0.200916420217	0.0170154388651	0.474257345105	0.288231584156
