 	l	ho	sentito	che	veniva	</S>
a41	0.00100221885	0.0029593254	0.781220985	0.212175962	0.00123495153025	0.0014065067737
a31	0.000673181256667	0.00299300053333	0.772386581667	0.223054488667	0.000422596442917	0.00047012000139
a24	0.000668671025556	0.00319550637778	0.717708447222	0.278096622889	0.000163700816972	0.000167051611487
a15	0.00221756680852	0.00407881092593	0.759647092407	0.23388085763	9.31104136573e-05	8.25922131623e-05
a28	0.0193633726028	0.00401790780864	0.790700040802	0.185681992543	7.44896858858e-05	0.000162202807054
a0	0.224048917534	0.00317614303621	0.664388580267	0.107030568514	0.000121506235295	0.00123428691235
a31	0.333854675845	0.0040290419454	0.471769193422	0.182512657171	0.0055233303551	0.00231111723745
a11	0.175704095282	0.0052609250818	0.364021017807	0.34236516239	0.109649422118	0.00299939061248
a31	0.0653116272273	0.0037519065606	0.224562652602	0.31022132413	0.384066854039	0.0120856325375
a39	0.0366842712091	0.0116811426202	0.111783141534	0.191608581377	0.63172718468	0.0165156811792
a20	0.027885224403	0.0149737445401	0.0456657335113	0.124044585126	0.777160328227	0.0102704121931
</S>	0.0164735132015	0.00921531777005	0.0279996502557	0.087649339563	0.850568364114	0.00809383979655
