 	voglio	che	Maria	viene	domani	</S>
a33	0.0674849115	0.90897327	0.01143745125	0.012085825365	3.37105666065e-06	1.521557139e-05
a31	0.2978911905	0.691248286667	0.00671022291667	0.004143512015	1.57438292732e-06	5.23283960667e-06
a11	0.627792476833	0.366788845556	0.00393304331556	0.00148179098167	1.05959010244e-06	2.78770418556e-06
a31	0.788076342278	0.208605755185	0.00201476331519	0.00126683432056	3.15434245608e-05	4.73363516185e-06
a18	0.882002264093	0.115448026395	0.0013190769584	0.00118158539019	4.19104189336e-05	7.05287805395e-06
a31	0.945432654698	0.0514574347983	0.0008566586728	0.00212616328006	0.000108825837058	1.81580693513e-05
a42	0.765955618233	0.144253849599	0.0240041915909	0.06489939296	0.000325426799019	0.000561487988784
a37	0.632156392744	0.179130752533	0.0341197808636	0.0945402916533	0.0535284453197	0.00652435412959
a31	0.475812870248	0.108564086844	0.0767084986212	0.115962464551	0.0976477651066	0.12530434271
a20	0.174945549749	0.097898888948	0.118489396207	0.12949422285	0.317451835036	0.16172014207
a31	0.063552407783	0.092186521316	0.143449035402	0.108506085617	0.375655821012	0.216650168523
a8	0.0250445449943	0.114579002105	0.195601728467	0.109514817206	0.309252803004	0.246007141841
</S>	0.0162674597972	0.125805076052	0.209092044234	0.091930996603	0.413404401502	0.14350004942
