 	avete	cucinato	le	verdure	</S>
a20	0.739666255	0.056846394	0.186204865	0.015105482435	0.00217697400795
a31	0.498013147667	0.115047891333	0.380954858333	0.005258044415	0.000726046883245
a37	0.506187438556	0.0987010457777	0.392409581444	0.00245040165167	0.000251512078043
a10	0.819439926185	0.0348506120592	0.133625670148	0.0115622460839	0.000521537834348
a20	0.899438395395	0.0134663981864	0.0481707002493	0.0379734153613	0.000951117978116
a28	0.661335551798	0.0490152720955	0.0268616476164	0.252065693454	0.0107218368927
a20	0.367043217266	0.0815430973652	0.0226900015388	0.507531364485	0.0211923192976
a33	0.216701473422	0.0572369134551	0.0224147985129	0.671223021495	0.0324238064325
a8	0.075710850474	0.0285000579517	0.0230795565043	0.836945640498	0.0357638668108
</S>	0.038526162737	0.0151699876759	0.0204332477522	0.897250320249	0.0286202344054
