 	devo	pulire	l	albero	</S>
a39	0.02172255925	0.91016753	0.0612606479	0.0063098385454	0.00053941124115
a31	0.0128169119167	0.963299626667	0.0215976321333	0.00210413026867	0.000181716903757
a35	0.0248902789722	0.962607192222	0.0113987936111	0.00099803989949	0.000105727003859
a31	0.0597711053241	0.887300130741	0.0519639318704	0.00085039950983	0.000114468929953
a20	0.219369125108	0.697141576914	0.0745318166235	0.00871260929328	0.000244874698651
a31	0.260937508369	0.570769558971	0.151375438208	0.0164167440978	0.00050075929955
a37	0.110667586723	0.419554096324	0.176475702736	0.292877721366	0.000424921705183
a1	0.0385199415077	0.189008562108	0.072235469912	0.700035747122	0.000200269150394
a20	0.0161870575026	0.093643695036	0.0286309999707	0.860193629041	0.00134457369346
a31	0.0083140253342	0.235782452679	0.0141075458902	0.734233033014	0.00756290923115
a39	0.0099277376114	0.338559024226	0.107912050197	0.533632377671	0.00996881257705
a10	0.0162134255371	0.328125354742	0.187050596732	0.459656579224	0.00895409535902
a29	0.014233921179	0.425030191581	0.143947225577	0.399110246408	0.0176784657863
a46	0.011386875393	0.490935030527	0.143850308526	0.335579848803	0.0182479460621
a31	0.007834725321	0.409963810176	0.157526602842	0.405828769601	0.0188460784874
a20	0.0223488946303	0.364422376725	0.180519100947	0.414523966534	0.0181856554958
a13	0.0349016452101	0.371694632242	0.207972946982	0.373792988845	0.0116377911653
a20	0.0262868887367	0.300126900747	0.203601315661	0.453488752948	0.0164961590551
a31	0.0157166612956	0.219207286916	0.269908031887	0.363328994316	0.131839058352
a11	0.0318893004819	0.129233844639	0.272915480629	0.396857894772	0.169103492784
a17	0.0456692148273	0.0831351905463	0.187574923543	0.598996344924	0.0846242975947
a20	0.0296480332758	0.0637791391821	0.148899927848	0.678454894975	0.0792179525316
</S>	0.0237708246379	0.0527114480911	0.133383793924	0.706304647487	0.0838292312658
