 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a31	0.02460156165	0.75186038	0.098344805	0.0257124065	0.0208009755	0.01792915775	0.057755998	0.0025484443	0.0004462200165
a29	0.00930984561667	0.802605436667	0.098739567	0.0133337535	0.0103876465667	0.0104689125733	0.0525513841667	0.00244531949	0.000158120449167
a31	0.00414475400556	0.825237945556	0.106567251	0.0146055775	0.0140087222556	0.0067537156811	0.0236889728889	0.00485990058667	0.000133179559056
a20	0.0113922301685	0.796482898519	0.103734778333	0.0138226543	0.0146441510519	0.0059452300937	0.015550045863	0.0307296986956	0.00769831439635
a31	0.0192062993895	0.801971716173	0.0818572187777	0.00668793536667	0.0069508757173	0.00363760363123	0.00856987528767	0.0501869055652	0.0209315591321
a28	0.0147551963298	0.547461693191	0.0449843056392	0.00367334603756	0.00397219537577	0.00656212761041	0.00852848186256	0.325747064522	0.0443155773774
a3	0.0350999163099	0.18568117933	0.0156125976264	0.00128308251785	0.00225420236192	0.0171143992035	0.0135246889542	0.564826281507	0.164603639126
a35	0.0412547434366	0.0648465412433	0.0057590560588	0.000509530694617	0.00171939841397	0.0188285679345	0.0139690209847	0.527078720502	0.326034436375
a31	0.0212679504789	0.0359406024144	0.00486650383627	0.00182415123021	0.0113106122647	0.116524331845	0.0212584526616	0.437225056834	0.349782365458
a20	0.0725841568263	0.187617108471	0.0153524999454	0.0025902070434	0.0144449823316	0.146628518682	0.0210875806872	0.294390068945	0.245304895153
a31	0.0896600166088	0.36955684949	0.0244356833151	0.00300098321447	0.00936839535387	0.150244780961	0.00937940969573	0.168274531648	0.176079351718
a28	0.0788081465363	0.361417723163	0.023127863105	0.00321777067149	0.00853921391796	0.16450791032	0.00995185989858	0.198906352549	0.151523177239
a13	0.110616467512	0.286051241054	0.0190868083683	0.00186970975716	0.00720082077265	0.144801030107	0.0150438962995	0.28476772085	0.130562325746
a41	0.103395024504	0.233278603685	0.0150289117894	0.00133862995239	0.00862756792422	0.180197423369	0.0173872057665	0.252507980283	0.188238648582
a28	0.0832750348347	0.198246404562	0.0124487015965	0.00112306169746	0.00807951450807	0.160931504456	0.0160438605888	0.233900296761	0.285951602861
a31	0.0561349137782	0.237108221521	0.0170625551988	0.00151386984582	0.00559536170269	0.105105847152	0.0110135170629	0.162746165587	0.403719554287
a20	0.0977079434261	0.234950552507	0.0183829610663	0.00183197021527	0.00427842913423	0.055731825384	0.010758344221	0.194893998529	0.381464014762
a31	0.107955821909	0.143819387502	0.0148390083554	0.00269060930509	0.00566826427808	0.043754285128	0.015989534407	0.23102448951	0.434258601587
a24	0.0635778467363	0.0796181315007	0.0117450949185	0.00269749565836	0.00536083155936	0.0338690797093	0.018404711469	0.286895609837	0.497831160529
a46	0.0578228019121	0.0365436628336	0.00641500790617	0.00144609012612	0.00457640685312	0.0300122085698	0.0230564044897	0.448527703279	0.39159967351
</S>	0.044505187456	0.0247061034168	0.00486210315308	0.00119864888806	0.00478901222656	0.0294391442849	0.0266195772448	0.49308550164	0.370794676755
