 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.1387916415	0.770429425	0.08852663605	0.0018042161415	0.00043978913905	2.18044720575e-06	5.96219475e-06	5.02604472e-08	1.49698261e-10	1.5193259e-10	1.240106664e-08	1.017111605e-07
a20	0.226666724833	0.646031415	0.126076679383	0.000960755808167	0.000258266252383	8.0629393575e-07	5.22469275667e-06	7.99359292e-08	1.624610671e-09	1.28722251333e-10	1.23515838333e-08	3.686540075e-08
a37	0.492082891611	0.307476291667	0.198487743128	0.00125930120272	0.000690616730794	4.6439678525e-07	2.53143942556e-06	1.56475849733e-07	7.61712679033e-09	4.39104050777e-11	4.41952086443e-09	1.31732016333e-08
a24	0.711195680537	0.135352100222	0.151255927709	0.00118761304757	0.00100597807693	7.08266805083e-07	1.81710460852e-06	1.92801006578e-07	5.95064502634e-08	1.49707253592e-11	1.97225418814e-09	5.2566280611e-09
a31	0.798868426846	0.0589239627407	0.13996489257	0.00115419116252	0.00108584309231	1.25536470169e-06	1.10665956951e-06	2.82174318859e-07	1.39957246754e-07	9.8476164864e-12	6.03588632938e-09	1.83657170837e-09
a39	0.856581158949	0.0300506813802	0.11155120019	0.00097552950084	0.000839438017437	1.14071672723e-06	5.73758944837e-07	2.45123691953e-07	1.17862990585e-07	8.09619281213e-12	7.16178328213e-09	6.22326586957e-10
a31	0.94807525965	0.0131043875934	0.0381145165967	0.000369100966947	0.000335325909146	6.60610395743e-07	5.90862736612e-07	1.63496042984e-07	4.23459161283e-08	2.82562223604e-12	2.45448267971e-09	2.08071629172e-10
a24	0.97686437655	0.0087937390978	0.0138474902656	0.000163243252316	0.000325336519715	9.99149858581e-07	4.5885113122e-06	2.16275734328e-07	1.47169655828e-08	9.8382999968e-13	8.86203600237e-10	7.0161361144e-11
a31	0.963818592183	0.0248559979326	0.00876252162187	0.000278210060772	0.00198593487324	3.43271567195e-05	0.000262938500937	1.42908877144e-06	3.43327758009e-08	8.05589427223e-12	2.05620459375e-09	1.96963834448e-10
a28	0.877516897394	0.0576076893109	0.0598119412073	0.00153619315359	0.00290208102441	0.000119521975573	0.000502274140312	2.89761329048e-06	4.16294082003e-08	2.98246930907e-11	1.15492729298e-07	3.37881813228e-07
a24	0.810015209131	0.091013168437	0.0946414270691	0.00198096618453	0.00174245010814	0.000127032159858	0.000476550826771	2.50908399683e-06	1.56343266668e-08	4.76023866969e-11	1.57628794766e-07	5.02121001076e-07
a8	0.768853713044	0.100376929479	0.127607869023	0.00148466396151	0.00120517983605	7.32069179527e-05	0.000395319238924	2.41483043228e-06	9.07476572227e-09	4.01413896232e-10	7.38933332553e-08	5.74296730359e-07
a31	0.595222377681	0.0715080278263	0.325825036341	0.00394441065384	0.00293049604535	0.000125677972651	0.000432197002975	1.01547063774e-05	3.96356526407e-07	1.67065343665e-07	1.61760851085e-07	8.57762043453e-07
a46	0.546611699227	0.0696399486088	0.373515335447	0.00604986881795	0.00328493120178	0.000214218334217	0.000585693827658	1.70714201258e-05	6.12705375469e-07	2.25329364222e-07	9.35557714036e-06	7.10115378478e-05
a8	0.621286233076	0.102348954203	0.265377918482	0.00547589487265	0.00197131882059	0.000625815688072	0.00248987802255	8.40624467086e-05	3.8414501849e-07	8.7118349074e-08	2.21266697135e-05	0.000317300619283
a28	0.555052867692	0.145221224734	0.278386012827	0.00983297329088	0.00330613827353	0.000876299446024	0.00669239734085	0.000162031148903	1.9572545995e-06	1.63370437691e-07	6.88934189045e-05	0.000399022653094
a31	0.373928675897	0.122491701578	0.472505417609	0.0159752114303	0.00690164942451	0.000970010798675	0.00671712664695	0.000214122726301	7.29296253317e-06	4.38697358923e-06	7.66001394348e-05	0.000207806551031
a39	0.384382341966	0.0854158321927	0.50044894587	0.0175935248101	0.00650057607484	0.00128100696622	0.00347256701565	0.000249185228767	1.45064271777e-05	5.89586139641e-06	0.000241154559612	0.00039450949701
a33	0.491929600655	0.152275002398	0.305557341957	0.01957426827	0.00521139262495	0.00602043205541	0.0134795626052	0.00174262240959	2.28465690592e-05	2.75423006547e-06	0.000881700153204	0.00330250451234
a31	0.335997270218	0.143743449799	0.395444040652	0.0288690697567	0.0356275732083	0.0145371076851	0.0363301408684	0.00398015653653	9.58238830197e-05	5.06092770885e-05	0.000990445191068	0.00433429153745
a24	0.324925926739	0.0837073755997	0.455621323551	0.0392019585856	0.0437251750694	0.0132042720284	0.0329049642895	0.00336749532551	0.000158643237673	6.81011423628e-05	0.00103481477036	0.00207994534582
a37	0.48553357558	0.0840763365332	0.35233772785	0.0400367621952	0.0157300841898	0.0060530630428	0.0122654148965	0.00149111509517	0.000135453479224	2.66294317876e-05	0.00123751105679	0.00107634044861
a14	0.537656025193	0.0778532035111	0.332028859283	0.0356378640651	0.00617224696327	0.00319090058093	0.00510897059883	0.00073334588839	0.000104254796408	1.35854409292e-05	0.000913928485597	0.000586817549537
a20	0.522827948398	0.069149417837	0.363335586428	0.0352336350217	0.00307979578776	0.00205931536031	0.00262443116628	0.00043631313613	0.000103847775469	1.26006576431e-05	0.000753721538532	0.000383380449846
a28	0.508383389466	0.0764670226123	0.372713628809	0.0354906043406	0.00202299409592	0.00171515565344	0.00171594765543	0.00037606894871	0.00011219154849	1.32901212144e-05	0.000688195489511	0.000301491393282
a5	0.489741389822	0.0764689302041	0.38385967627	0.0404597687802	0.00204262816531	0.00275273008448	0.00162923918514	0.00041426201957	0.00018269291283	2.45373710715e-05	0.00163908916317	0.000785055374427
a17	0.447418669941	0.0614491307347	0.420239435423	0.0573097495934	0.0025793953551	0.00440691086149	0.00178872429505	0.000558256779857	0.000335915344277	3.98988370238e-05	0.00279238955439	0.00108152292481
a21	0.45729986998	0.0736681515782	0.399408051808	0.0587079031978	0.00213475596837	0.00375169905383	0.00140004698502	0.000585838266619	0.000321009674759	3.21417463413e-05	0.00208406277146	0.00060649092827
a8	0.45241251666	0.166247210526	0.325723393936	0.0457799290659	0.00219338113946	0.00310527845128	0.00179507694834	0.00120434497887	0.000178879481586	1.64696262138e-05	0.000965863150487	0.000377685882757
a31	0.307176045553	0.179710801842	0.450125534645	0.0478076166886	0.00696729961315	0.00330978841709	0.00220358311611	0.00175085309296	0.000100782627195	3.64915221713e-05	0.000475096116829	0.000336096390919
a20	0.238434485184	0.235970172281	0.452027504882	0.0514652922295	0.00811839680438	0.00378048133903	0.00218306187204	0.00237632559765	0.000397164545732	5.50730593904e-05	0.00456174786561	0.000630263740306
a3	0.286361465061	0.398530817427	0.234394134961	0.0495933250765	0.00472622620146	0.00591329221301	0.00357579579068	0.00465262533255	0.000741359248577	5.00461734635e-05	0.0100586379552	0.00140223671344
a20	0.289063068354	0.454080285809	0.16709712832	0.0513681216922	0.00413010186715	0.00768756723767	0.00489306243023	0.00643047591085	0.000791889826192	6.10218744878e-05	0.0122245706517	0.00217267517115
a10	0.307150312785	0.44367021527	0.157798892773	0.0550372285641	0.00337908428905	0.00736134107922	0.00430706351008	0.00551215243695	0.000857816728731	8.84190064959e-05	0.0123096740506	0.00252778239038
a31	0.254646990928	0.30712189509	0.335220770924	0.063199214188	0.0116753562963	0.00816700735974	0.00502965103669	0.00431448961232	0.00062557044291	0.000104387827499	0.00764982441353	0.00224482746346
a20	0.181358860309	0.326951511697	0.361052531641	0.0659635600627	0.0147988667654	0.0105480137866	0.00644190034556	0.00619508087077	0.0024499284043	0.0001197431945	0.0220732010345	0.00204679065449
a7	0.190304620103	0.491537993899	0.17484113688	0.0638277086876	0.00724848558847	0.0114655342622	0.00611495764852	0.00807747945692	0.00385473180143	0.000142665968167	0.0398419956782	0.0027426630515
a11	0.201369810034	0.5325579313	0.119106410627	0.0650812828959	0.00500072999616	0.0121691394207	0.00629445041617	0.00869719031897	0.00302692246714	0.000166451339389	0.0424793552261	0.00405025701717
