 	possono	essere	ancora	svegli	</S>
a31	0.834117335	0.07870542665	0.08690635655	0.00023649884	3.44351847044e-05
a20	0.834878678333	0.0785823835	0.0864346836292	9.27843845333e-05	1.15129486211e-05
a23	0.944882669444	0.0262560117633	0.0288178615406	3.95542637111e-05	3.95363127703e-06
a31	0.981259676481	0.0088855051811	0.00963173631353	0.000221345612237	1.78671061234e-06
a20	0.993153365494	0.00310132857037	0.00324102899218	0.000497523770746	6.75708590411e-06
a11	0.995975428498	0.00114045335346	0.00111425503339	0.00168121232358	8.8658499968e-05
a20	0.922952096166	0.00107472795115	0.000955647007797	0.0660275342079	0.00899002258332
a31	0.899698932055	0.00102012172372	0.000916045599266	0.086213000084	0.0121519277944
a37	0.646139770685	0.00040893401924	0.000937914263089	0.334019482043	0.0184939195315
a31	0.515352783562	0.00034455846108	0.00238773762103	0.423589208681	0.0583257261772
a11	0.458760026607	0.00030662083636	0.00326057400701	0.477488840894	0.0601839803924
a46	0.153668929056	0.00010594470112	0.00815363433567	0.800026000298	0.0380455414641
a31	0.0597282267853	0.000200889476707	0.00950544437856	0.767848133433	0.162717331821
a46	0.0282536671084	0.000232933921569	0.0170801623929	0.764560057811	0.189873201174
a31	0.0105623381161	0.000186664249856	0.0191835064643	0.842472035937	0.127595497625
a20	0.00540402770537	0.000201114813285	0.0486391778214	0.838711061979	0.107044632342
a28	0.00509777800179	0.000200998801095	0.0694433609405	0.887712353993	0.0375455270473
</S>	0.0059609995009	0.000250928350547	0.0516238829703	0.922159026996	0.0200052232237
