 	essendosi	vestito	</S>
a46	0.99386442	0.0014237120035	0.0047118567153
a31	0.997943353333	0.000485217344517	0.00157140822295
a18	0.956889307778	0.0363208834559	0.00678979324864
a31	0.937030292593	0.0540786444853	0.00889107478288
a20	0.709298727531	0.248231644828	0.0424696652943
a46	0.346068395844	0.467147914943	0.186783721765
a20	0.178868755281	0.427783504981	0.393347753922
a31	0.115945898427	0.26628730766	0.617766797974
a0	0.152404729476	0.308547131887	0.539048145991
a46	0.268733279825	0.492784133962	0.23848259033
a35	0.353689099942	0.544388064654	0.101922828443
a46	0.317496619981	0.637108474885	0.0453948938143
a24	0.20656338666	0.771645858295	0.0217907502714
a46	0.106296514553	0.852857419432	0.0408460780905
a24	0.047233634851	0.695013713144	0.25775267603
a31	0.0185881333637	0.350733383915	0.63067852201
</S>	0.00939441280185	0.178375801257	0.812229836005
