 	quando	io	divento	vecchia	vendo	la	casa	vendo	la	casa	a	Trieste	vengo	e	abito	a	Martano	</S>
a23	0.03712259955	0.9544425	0.00198766284	0.004363218604	0.001852050268	0.0002243251235	7.0556796585e-09	3.077535485e-06	3.0563645e-07	1.47070286e-10	2.04948645e-06	2.9785973293e-08	9.80323658e-08	1.32441787e-08	2.1007069625e-06	2.225074895e-08	1.8639267045e-10	4.7073888035e-10
a31	0.0137172504167	0.981927383333	0.00212226637333	0.00147954397567	0.000669729068	7.79823381267e-05	4.9795346585e-09	1.187476645e-06	2.05418656e-07	2.37753862933e-09	1.96895431667e-06	9.93143575975e-09	9.70905693667e-08	1.29538409833e-08	2.36844350083e-06	2.823711865e-08	6.26985645833e-11	1.57948238809e-10
a5	0.0129638360056	0.983415311111	0.00258859439111	0.000730926683557	0.000268763565333	2.62414549356e-05	4.3350874295e-09	4.56828838333e-07	7.58546716667e-08	3.11560818918e-09	8.73764235557e-07	3.31465258367e-09	4.22997185556e-08	1.43790074111e-08	4.73311788028e-06	1.35054437883e-07	2.25129211278e-11	5.70964580623e-11
a7	0.0120342118685	0.986004277037	0.0013456639047	0.000488297463186	0.000101867001444	1.15503589119e-05	2.33525925317e-09	1.78353447444e-07	7.21299908889e-08	1.04111795029e-09	3.49912555186e-07	1.69062723916e-08	6.72723941852e-08	1.43353565804e-07	1.29204209601e-05	3.82652012628e-07	4.40445991759e-11	3.05786606874e-11
a37	0.00433269854617	0.994922982346	0.000465994837333	0.000215040247729	3.97161338147e-05	7.82557697063e-06	1.75031487439e-09	8.0289948148e-08	7.59161902963e-08	3.4968373823e-10	1.56974950729e-07	2.20476526972e-08	6.95157613951e-08	1.87073249935e-07	1.46494229867e-05	5.00122790876e-07	5.10431037253e-11	1.89342915625e-11
a7	0.00181336850539	0.997843060782	0.000160041467878	0.000133001897243	1.80297032716e-05	2.03175733235e-05	1.75418784813e-09	4.44143253827e-08	9.15668900988e-08	1.21531671377e-10	6.7857688243e-08	2.12396033799e-07	3.70655337984e-08	1.40566681312e-07	1.05551089956e-05	1.03136518363e-06	7.66191485751e-11	4.10094571875e-11
a20	0.00174140853513	0.998036820261	5.78297933927e-05	0.000111677662414	1.16317650905e-05	3.00762397745e-05	2.23885218271e-09	3.24675841276e-08	9.83663766996e-08	4.66134859257e-11	3.52376773477e-08	2.86718001266e-07	2.47724882661e-08	1.27459694771e-07	7.89456693187e-06	2.02349482788e-06	1.00022074525e-10	5.38166163958e-11
a31	0.00195188327838	0.997665490087	2.34746323642e-05	0.000160814664138	0.000141383283364	4.95985985915e-05	1.55021386276e-08	2.55042108709e-07	1.157294489e-07	6.83271891086e-11	2.84996363826e-08	1.07753859255e-07	9.39038715537e-09	5.67917655903e-08	4.68234071062e-06	2.01666210929e-06	1.06940976508e-10	2.63456596653e-11
a17	0.0162401980928	0.982280560029	0.000444699135255	0.000286629671379	0.000529495587788	0.000201194266197	3.67781044209e-07	4.2128378957e-07	1.42146452967e-07	5.68639173036e-10	3.35405541275e-08	1.12015252053e-05	2.98517131185e-08	3.73575038197e-07	3.23518477021e-06	1.40871626976e-06	8.24825193884e-09	5.48643520088e-10
a29	0.0267833503643	0.97079162001	0.000725676971752	0.00029554762046	0.00108347319593	0.000294150548732	7.3710504807e-07	4.20131716523e-07	9.56117853223e-08	1.16414262435e-09	2.83579543758e-08	1.91125959018e-05	4.62898747062e-08	6.19210916066e-07	2.66094865674e-06	2.45575052325e-06	4.94012273129e-08	1.0985867067e-09
a39	0.0325437761214	0.96397152667	0.000858347550584	0.000183387061487	0.00220088606531	0.000222163842911	7.98123399357e-07	6.14391682174e-07	6.36055294408e-08	1.12824445478e-09	3.41131674586e-08	1.07575124773e-05	2.88312607354e-08	4.19197852022e-07	2.75095955225e-06	4.41847147442e-06	6.54373611043e-08	8.39193495567e-10
a31	0.0462370107071	0.947512355557	0.00265444751686	0.000222977911829	0.00250943318844	0.000844717214304	1.65493724979e-06	5.00963511739e-06	3.00786629814e-07	1.73155193159e-09	8.84872629153e-07	4.27694513577e-06	5.03692577451e-08	4.08168580674e-07	2.77413305075e-06	3.64982390814e-06	3.35175033014e-08	3.88930294189e-10
a3	0.0439036402357	0.943227498519	0.00288185167229	0.000261668377276	0.00856859656281	0.00106088807143	1.74971916326e-06	7.40574107058e-05	6.32811809938e-07	2.37135864386e-09	2.44943004305e-06	2.28984547859e-06	1.02894387915e-07	7.31476080225e-07	4.83630088358e-06	6.46406185271e-06	2.46790986537e-06	9.85497553373e-09
a29	0.0352551667452	0.945942266173	0.00117380035743	0.000202132259092	0.0166877768543	0.00045327647381	8.08357667753e-07	0.000228164306902	8.44321569979e-07	2.78256971462e-09	6.75519901435e-06	1.35497005953e-06	1.63975489305e-07	1.31225436008e-06	1.32943069612e-05	2.35627629509e-05	9.27543108846e-06	2.49883901779e-08
a20	0.0340052042484	0.949997055391	0.000649270539143	0.000179756973031	0.0146475138514	0.000204668212937	4.80636162584e-07	0.000246423432301	7.6333320666e-07	2.65431147154e-09	8.60136157145e-06	7.0944269651e-07	1.53403468435e-07	1.30237714003e-06	1.67476596537e-05	3.04505199836e-05	1.08895911295e-05	2.3691162726e-08
a31	0.0384806787495	0.94795826513	0.00176637463305	0.00128206848434	0.0099462081838	0.000405086125979	1.53957459419e-06	0.000120257086434	6.17378085553e-07	1.20074508905e-08	4.81091343382e-06	1.01777290884e-06	8.69484038117e-08	7.01432416677e-07	1.00313969179e-05	1.67878147945e-05	5.46328415983e-06	1.4228501242e-08
a13	0.100176293583	0.86874005171	0.00230170112102	0.00367957029478	0.0227111740613	0.000555283235326	3.05044359806e-06	0.00111168125114	3.84116486185e-06	5.33710229635e-08	6.31874061546e-05	3.85129906961e-06	1.19048360027e-06	9.72861415556e-06	4.6092057006e-05	8.94003563982e-05	0.000502561789737	1.33340834541e-06
a29	0.207505497861	0.746622033903	0.00157735198367	0.00492892519826	0.0355671346871	0.000368324755109	3.44431553269e-06	0.00194913231705	7.32582028728e-06	9.13725609878e-08	0.000133562895385	5.21291608987e-06	2.63619853342e-06	2.41253297185e-05	0.000108370145669	0.000166209185466	0.00102808586325	2.59600324847e-06
a41	0.28326462262	0.679102857968	0.00189825459456	0.00472318206609	0.0279884185624	0.000276882235036	3.21548464423e-06	0.00139203336235	6.88704742909e-06	8.67250369959e-08	0.000137910515128	3.27512266329e-06	2.76510354447e-06	2.97585105728e-05	0.00012719886189	0.000148079255155	0.000892286621083	2.29469188282e-06
a10	0.252573510873	0.715999499323	0.00185797009819	0.00376850422203	0.0235371685208	0.000222624518345	2.92420034808e-06	0.000914578310783	5.0534735097e-06	8.1481462332e-08	0.000105130355043	1.77068138776e-06	2.10026804816e-06	2.45062515243e-05	0.00011172038063	0.000130032318385	0.000740751907028	2.06431106094e-06
a24	0.191237416958	0.778543166441	0.00151500786606	0.00329914860734	0.0235981321736	0.000196940946115	3.20081474936e-06	0.000618289416928	3.3663644699e-06	9.46853341107e-08	6.03919773477e-05	1.26574819592e-06	1.45766581605e-06	1.71514795081e-05	9.19675285433e-05	0.000112416852795	0.000698600202343	1.98253212031e-06
a31	0.131027403653	0.83909765548	0.00160295968869	0.00829224286911	0.0185650500579	0.000505685365372	5.67323604979e-06	0.000303283650976	2.18006735663e-06	1.5259412137e-07	2.87108057892e-05	1.12952173197e-06	8.96679858683e-07	1.0561312316e-05	5.70385967144e-05	6.64570899317e-05	0.000431477974181	1.4254373601e-06
a13	0.276687499218	0.658538881827	0.00669243212956	0.0321024712897	0.017048229686	0.000625074641791	4.01556636833e-05	0.000249164332325	6.86318405221e-06	1.33562877379e-06	3.89552196031e-05	3.9178610444e-05	1.42709861729e-05	0.000136509918252	0.000210706927771	0.000409739962311	0.00713253119813	2.60000431067e-05
