 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.7289148	0.0064256001	0.258128183	0.0063340396	1.94163426e-06	1.368544592e-07	0.000195332661
a31	0.423846251333	0.0115787514333	0.561845737667	0.0026539782	1.66061726e-06	4.73551347333e-08	7.360172456e-05
a6	0.472255488444	0.0175702128111	0.508961846666	0.00118625976567	1.47551592333e-06	1.72548370678e-08	2.46884753233e-05
a31	0.794973909481	0.0334002922704	0.170793359832	0.000822978954223	1.17066307778e-06	5.93676415593e-09	8.28107982687e-06
a37	0.90673848316	0.0345980271901	0.0579767811638	0.000682919032941	1.04850532426e-06	2.10494976864e-09	2.76199731042e-06
a31	0.965823741053	0.0145721464967	0.0193513984244	0.00025138992918	3.8880154642e-07	7.2429778888e-10	9.21288278049e-07
a17	0.986870380351	0.00654539644557	0.0064760476794	0.000107667837527	1.7400473614e-07	2.4845590996e-10	3.07188108202e-07
a31	0.993926796784	0.00264060986186	0.00313009578107	0.000300330736976	2.04803389271e-06	2.90640857653e-10	1.10708151711e-07
a17	0.995558182261	0.00134176253729	0.00254851999369	0.000534673268992	1.63999817976e-05	5.54134718588e-09	4.90235732904e-07
a31	0.965511094087	0.000946619729097	0.0209700340646	0.012302250713	0.000247232925933	8.93263823953e-08	2.2708385211e-05
a8	0.849084988029	0.0010455891297	0.112979226022	0.035652132571	0.000488043328644	2.73412767465e-07	0.000749746598404
a31	0.65155070601	0.0012272207299	0.186910368674	0.155293967524	0.00274479556288	6.55389865582e-06	0.0022663930328
a28	0.366444535337	0.00106889464663	0.445212676225	0.180070922508	0.00346756442763	9.00653855194e-06	0.00372638504427
a0	0.225012631779	0.000781147685543	0.682280658742	0.0831601835027	0.00194849784921	6.94020385065e-06	0.00680988481476
a41	0.283114573926	0.00129262782851	0.619708319581	0.0805272258342	0.0024024306164	2.26992062835e-05	0.0129320662716
a39	0.325746891309	0.00205285857617	0.536808563194	0.113357133945	0.00400154787213	6.00253070945e-05	0.0179729457572
a31	0.34724845377	0.00186952472539	0.334169268731	0.290360694648	0.0131346599574	0.000130045122365	0.0130873264857
a39	0.34137868459	0.0028635961418	0.273279880577	0.339704078216	0.0244186146525	0.000187799114122	0.0181673137286
a31	0.247735368197	0.0037159183806	0.265809803526	0.428735739405	0.0325706872175	0.000248121554707	0.0211843237429
a18	0.184147456066	0.00923158879353	0.278552064509	0.459943503135	0.0453352404058	0.000522143921569	0.022267970081
a31	0.145038307022	0.0122690039312	0.31452564817	0.454008691045	0.0442496818019	0.000726025093856	0.029182613027
a18	0.122890077341	0.0237335973104	0.312840056057	0.450102330348	0.0606705842673	0.00139405316462	0.0283693006757
a31	0.111931274114	0.0286207241035	0.334486618686	0.417955476783	0.0650358067558	0.00174795035487	0.0402221452252
a39	0.109020059705	0.0469260023678	0.309980112895	0.403394634261	0.0868870342519	0.00253482388496	0.0412572994084
a41	0.135089104568	0.0758710124559	0.365030184298	0.242891686754	0.133180728084	0.00498766939499	0.0429495741361
a8	0.097768612856	0.075886104152	0.375243111433	0.226183972251	0.132726189361	0.00763322123166	0.084558754712
a31	0.0573652732853	0.0511446932507	0.292633680478	0.392050767417	0.100971319787	0.00656647544389	0.0992677882373
a46	0.0758837034284	0.0681513262836	0.237911386826	0.413212787806	0.130521363262	0.0068107851813	0.0675086677458
a8	0.0879668744761	0.0873425854279	0.251801192275	0.257784961269	0.253690081087	0.0074136089271	0.0540007275819
</S>	0.060828462238	0.0656421227139	0.245236151137	0.247289980635	0.319408605543	0.00539089026355	0.0562038287909
