 	le	melanzane	vogliono	ee	girate	</S>
a31	0.26419338775	0.319509497	0.111428058	0.07947136245	0.21658668	0.008810951172
a20	0.0903270906833	0.306250453798	0.10541689884	0.02952983045	0.462309493333	0.00616618183867
a18	0.0310144013611	0.102092307566	0.035158411798	0.0133574038167	0.812381211111	0.00599625304622
a20	0.011068757687	0.0340326512934	0.0117282086759	0.00635145940557	0.933779017037	0.00303989114874
a38	0.004199298629	0.0113446281675	0.00391205613887	0.00661335093519	0.970554005679	0.00337661974958
a17	0.059644973243	0.0038019482732	0.00249716869462	0.0274696089784	0.897384955226	0.00920129624986
a31	0.0782578299143	0.0012877774284	0.00206364724687	0.160505069659	0.742339538409	0.0155461210833
a20	0.0364390881381	0.0007987455968	0.046145624631	0.197206716553	0.70520757947	0.0142022483611
a41	0.0467522307127	0.0028365120656	0.12860150821	0.0999651715177	0.698063643157	0.0237809274537
a29	0.0456217512376	0.00520900668853	0.210509192737	0.0814410931726	0.578207991052	0.0790109558179
a11	0.0230264362792	0.00605465002951	0.349443350912	0.0720133110575	0.413734067017	0.135728191939
a31	0.0105554161264	0.00431628659317	0.318434950304	0.106897800353	0.289734185672	0.270061357313
a8	0.00580894854213	0.00506453764772	0.275191763435	0.165693620118	0.284119621891	0.264121498104
a31	0.00421002551404	0.00537190400591	0.246381025478	0.273309100039	0.285509813964	0.185218145035
a1	0.00233918567135	0.00312972209197	0.303395992826	0.281645443346	0.245881541321	0.163608106345
a31	0.00158127836712	0.00248351126399	0.324657557609	0.324193311115	0.184231168774	0.162853136782
a3	0.00165308589904	0.00447056802133	0.219268219203	0.407689517038	0.205690774591	0.161227845261
a31	0.00165809619968	0.00515478792378	0.179851885068	0.409393352346	0.203733970197	0.200207914754
a8	0.00119936546656	0.00781530755793	0.118440300356	0.515679117449	0.141125802066	0.215740067251
a23	0.00085467252552	0.00871298171931	0.107984168119	0.617064972483	0.160108834022	0.105274321417
a31	0.00040818151184	0.00326071740644	0.055419055373	0.561226237494	0.127831791341	0.251853970472
a46	0.000787672170613	0.00754024776881	0.0402271974577	0.541577825831	0.11898990378	0.290877100157
a37	0.00124336745687	0.0140169382563	0.0471360174859	0.655336941944	0.15837122126	0.123895468719
a46	0.00135116881896	0.0174215610854	0.052095633162	0.690395147315	0.161770383753	0.076966096573
a24	0.00140812807299	0.0190745806951	0.0519125433873	0.703278772438	0.158360401251	0.0659655705243
a31	0.00106746151433	0.0123068066984	0.0362908277958	0.515902765479	0.114609572084	0.319822566841
a46	0.00546458236144	0.0886401753661	0.0452811235986	0.36244453316	0.0894145856947	0.408755005614
a31	0.00697848374048	0.114180869055	0.0490964585329	0.287912874387	0.0802338158982	0.461597498538
a8	0.00639095770016	0.0991042269517	0.0653600168443	0.187285468129	0.110568625966	0.531290706179
a24	0.00662981506672	0.103996445984	0.0816370716148	0.358851929376	0.158893321989	0.289991400726
a8	0.00421211185557	0.0645892216613	0.0865717665383	0.422812233125	0.187736613996	0.234078025575
a31	0.00285191972519	0.0413213239604	0.0752396848461	0.233700813042	0.157638468665	0.489247791858
</S>	0.0015424870226	0.0208702580902	0.0439681664231	0.131028724521	0.0894720203325	0.713118370929
