 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
a23	0.73134173	0.150454715	0.00050274704	0.117306977	0.000373202585	1.8688198e-05	4.00346495e-07	1.607435895e-07	9.68862985e-11	6.81191955e-08	8.7571366e-07	1.644396125e-07	2.133240949e-07
a31	0.47349715	0.304610571667	0.00030429159	0.221138152333	0.000432703871667	1.6019518e-05	1.51710132e-07	6.37006681533e-08	1.191035285e-10	2.83616685e-08	6.39134193333e-07	1.259611925e-07	7.1821780784e-08
a7	0.322714453333	0.463892457222	0.000339078193333	0.212759390778	0.000287394338222	6.49145428333e-06	5.50609732e-08	2.24835185711e-08	1.18132316033e-10	1.484328162e-08	5.10579656778e-07	1.11232791167e-07	2.4391429312e-08
a20	0.394964291111	0.498757205741	0.000583745927778	0.105555446593	0.000132271913741	4.88303737778e-06	5.52243832667e-08	1.8373900057e-08	4.05810429443e-11	5.00712364167e-09	1.86322727926e-07	1.85307254739e-06	2.77475629373e-08
a17	0.642488367037	0.317192027914	0.000485006180259	0.039755774431	7.17938425337e-05	4.04535313159e-06	5.40454361556e-08	1.8147594819e-08	1.50436807148e-11	1.70985684722e-09	7.76494371753e-08	2.7513110158e-06	3.68550009791e-08
a39	0.871750815679	0.114679621638	0.000170259549253	0.013372116537	2.41580720779e-05	1.3664723712e-06	2.00181529852e-08	1.0403757073e-08	8.98049790493e-12	5.81436346073e-10	2.66037750251e-08	1.52213897193e-06	3.59013726597e-08
a31	0.915182885226	0.0770879068793	6.2564645051e-05	0.00756321700567	7.19130939726e-05	2.23267984454e-05	1.7796392502e-06	1.16068929302e-06	4.88439901635e-10	3.49729478607e-08	3.89709609775e-07	5.53529725731e-06	2.61334609887e-07
a13	0.919651095075	0.0743194969598	0.00010002733215	0.00579992295522	8.85008770575e-05	2.93483148118e-05	2.36643744573e-06	1.54236801971e-06	6.65834000545e-10	4.65491573402e-08	5.11126664958e-07	6.76115805244e-06	3.26687029962e-07
a17	0.947693155025	0.0496064603199	0.000152695400717	0.00250221370507	3.13136757525e-05	9.89449238393e-06	7.92630515243e-07	5.15621234437e-07	2.45161921748e-10	1.60978608001e-08	1.72015710753e-07	2.57391191748e-06	1.22911493321e-07
a3	0.937922055008	0.0575721401066	0.000225482943572	0.00425418533502	2.00950945842e-05	3.82906111131e-06	2.73194679081e-07	1.74341836646e-07	8.76915631493e-11	6.7353348667e-09	6.13479003177e-08	1.60282517249e-06	6.13019844403e-08
a18	0.878542965003	0.106120250036	0.000413486757857	0.0148598481117	5.46632998614e-05	3.8834962371e-06	1.1911669936e-07	6.2980114882e-08	3.94186587164e-11	8.1212275889e-09	3.59989961059e-08	4.6441896575e-06	7.17072548134e-08
a31	0.854097635001	0.124255676679	0.000485861852619	0.0210348967039	0.000105914639954	1.42779977457e-05	1.0551829312e-07	3.6415213294e-08	1.56769332905e-10	1.7551700863e-08	3.02911843686e-08	5.5315757525e-06	8.08629042711e-08
a37	0.823476958334	0.15321682556	0.00038672331754	0.0221695412346	0.000620055363318	4.16020192486e-05	1.63942008771e-06	1.78870962765e-07	2.28528194302e-10	2.90572344362e-06	1.23575182046e-06	8.11075784508e-05	1.28264596742e-06
a41	0.773425519445	0.19555345852	0.000385557472513	0.0288351954115	0.00138815352111	0.00012565921975	4.90805726257e-06	6.08458187588e-07	2.16462718101e-10	1.36062738145e-05	5.61036884015e-06	0.000258070812817	3.68290262247e-06
a35	0.763236073148	0.18186421284	0.000516555557504	0.0508617818038	0.00221790530704	0.000405722806583	1.10577704209e-05	1.7794330292e-06	6.29821419367e-10	4.67888276048e-05	2.25184616134e-05	0.000806957214272	8.63610687416e-06
a31	0.713811607716	0.157461940947	0.00450098948583	0.119776923935	0.00279807133568	0.000649996585528	1.4094762807e-05	2.84458674307e-06	3.24309960906e-07	4.97504164016e-05	2.64434784045e-05	0.000889857311424	1.71279656247e-05
a24	0.727770185905	0.139906633649	0.00693587582861	0.115290187645	0.00363102934523	0.000870611145176	6.90038329357e-05	1.36449561477e-05	4.52864393635e-07	0.000758466510667	0.000184203335335	0.00446793687714	0.000101771738542
a37	0.803910695302	0.13249325455	0.0052635140762	0.0426857168817	0.00412460588174	0.000983939081725	0.000125570710979	2.46216327159e-05	1.95362282878e-07	0.00132425700356	0.000360662608445	0.00852698462571	0.000176040812847
a29	0.833222331767	0.12628815485	0.0057464148254	0.0195244169606	0.00355716912725	0.000824731907242	0.000125861196993	2.55999419053e-05	1.25741359293e-07	0.00100206976785	0.000376184199482	0.00912587187524	0.000181181527616
a24	0.839075357256	0.12723730495	0.00649574827513	0.0131615969869	0.00291616624242	0.000661149915747	0.000110930774331	2.36734993018e-05	1.06494019764e-07	0.00070798125595	0.000351272666494	0.00907805162508	0.000180777085872
a46	0.821841799085	0.122200118317	0.00886145142504	0.0167052466623	0.00353624791414	0.000999157305249	0.000215252786777	5.70678731006e-05	3.36828029921e-07	0.000957166885317	0.000880237135498	0.023340906875	0.000405099381957
a31	0.698760319695	0.0956158771057	0.0101493068083	0.158986578554	0.00541658377138	0.00158478780175	0.000258405042259	7.30994733669e-05	2.45086018664e-06	0.000900129725439	0.000990101401833	0.0264512799583	0.000811145527319
a20	0.542526736565	0.0934068367019	0.0273967072694	0.200514804851	0.00707508059046	0.00224556386725	0.00119271905075	0.000454502083456	7.91017272888e-06	0.00744443233881	0.00676315349061	0.108454547653	0.00251704834244
a31	0.426419668855	0.0895142539006	0.0318247356565	0.211942983617	0.0200086435302	0.0132543758891	0.00367343205025	0.00162487276115	3.8231398243e-05	0.0101738748796	0.0109927730302	0.164542619218	0.0159895429141
