 	che	non	li	aspettiamo	</S>
n	0.8804005	0.027063933	0.04513179	0.02640885	0.020995015
a	0.647771166667	0.206130344333	0.104136263333	0.021999135	0.0199629516333
m	0.322790155556	0.262003014778	0.174975754444	0.165669196667	0.0745617305111
i	0.184179151852	0.180489904926	0.320971584815	0.220240632222	0.0941187101704
t	0.143131750617	0.145493168309	0.415267194938	0.180758777407	0.115349036723
u	0.0770534502057	0.080291756103	0.516187731646	0.190099125802	0.136367945574
s	0.0403486634019	0.0580764520343	0.455767743882	0.330191575267	0.115615581858
m	0.0213021678006	0.0475059173448	0.216363014627	0.533301191756	0.181527527286
ì	0.0134586692669	0.0458569724483	0.303860938209	0.472864397252	0.163958742429
n	0.034390803089	0.0281803574828	0.582476312736	0.273482632417	0.081469614143
o	0.042341754363	0.0185841191609	0.573956437579	0.245793377472	0.119324004714
m	0.023860638121	0.0157638397203	0.307304979193	0.371196792491	0.281873334905
e	0.0157016930403	0.0115073299068	0.122885633064	0.376628264164	0.473276778302
</S>	0.00820236702015	0.0067628899534	0.065569526532	0.356002632082	0.563462389151
