 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
ì	0.997027	0.0025841124	0.0002277745	1.64941e-05	3.892e-05	4.68053e-06	1.241748e-05	8.876035e-05
s	0.996448333333	0.00253390573333	0.000842770833333	4.54742666667e-05	5.01158e-05	3.78004666667e-06	1.65562466667e-05	5.91442166667e-05
o	0.979409777778	0.0187345919111	0.00156390027778	0.000197000588889	4.67495e-05	2.34265555556e-06	1.65573488889e-05	2.90714535556e-05
t	0.717976259259	0.20485386397	0.0310253934259	0.0232155181963	0.0057047358	0.00901300763185	0.0018698710163	0.00634160133252
r	0.60209408642	0.279098321323	0.0430992644753	0.0338153127321	0.0100330986	0.0138836025439	0.0058392236721	0.0121373337775
a	0.504537095473	0.426852807108	0.0240509548251	0.0177608109107	0.00656725953333	0.00671825384797	0.00554604522403	0.0079668995925
ù	0.184932645158	0.717735935703	0.0768266516084	0.00988783697023	0.00314577517778	0.00246689544932	0.00211221700801	0.0028920355975
d	0.0628241650527	0.688436978568	0.238674883869	0.00601369565674	0.00148067172593	0.00083042867644	0.000755873936003	0.000983133165833
i	0.0270862916842	0.455577659523	0.481218294623	0.0299362152189	0.00409035524198	0.00033705958548	0.00102466497867	0.000729478288611
ì	0.0146635988947	0.208321686508	0.725250098208	0.0445074717396	0.00530554841399	0.000178725961827	0.00112505699289	0.000648005296204
r	0.00503176583157	0.0840552955027	0.868630366069	0.0376093572465	0.00389159947133	7.65702539423e-05	0.000465518664297	0.000239795432068
t	0.00178022147719	0.0806106985009	0.66834378869	0.0740568524155	0.0685402531571	0.00755268991798	0.0353992072214	0.0637165062774
e	0.000982561492397	0.0768944295003	0.31364479623	0.364884617472	0.099778517719	0.010198202306	0.0481461590738	0.0854706954258
g	0.000726567830799	0.0318348398334	0.29820846541	0.542578539157	0.062524172573	0.00732250643533	0.0193042063579	0.0375004251419
r	0.00118023727693	0.0186520799445	0.27631388847	0.332982646386	0.055964024191	0.0107846688118	0.0310263321193	0.273095808381
a	0.00129039609231	0.0109474426482	0.10417392949	0.387864682129	0.0832740747303	0.0103912429373	0.0371762107064	0.364881802794
m	0.00081312903077	0.00542287688273	0.0513605431633	0.67102256071	0.0982780915768	0.0071669909791	0.0199784035688	0.145957474265
m	0.000742414010257	0.00407294896091	0.0322650343878	0.545100486903	0.0893310971923	0.016765886993	0.0255650678563	0.286157164755
è	0.00269901900342	0.0092606263203	0.0208906647959	0.252317462301	0.299283365731	0.025613762331	0.0542457559521	0.335689388252
n	0.00355937300114	0.0131345287734	0.0291303882653	0.283244487434	0.481816788577	0.0169206674437	0.054379651984	0.117814039417
o	0.00183376433371	0.00752775959113	0.0248316194218	0.348308829145	0.523334596192	0.0089324191479	0.0332320839947	0.051998623139
t	0.0011261227779	0.00341516986371	0.0100335998073	0.233303743048	0.621189865397	0.0347698230493	0.0368092613316	0.059352107713
è	0.000588047525967	0.00231096995457	0.0060404032691	0.114034614349	0.746624288466	0.0423395910164	0.0316307537772	0.056430902571
s	0.000297085775322	0.00208872331819	0.0060051510897	0.0911094381163	0.821610429489	0.0235152136721	0.0264403512591	0.0289333441903
s	0.000203153491774	0.00202226110606	0.00546247036323	0.0963301460388	0.564445543163	0.033982471224	0.214857083753	0.0826968247301
e	0.000269867063925	0.00129131536869	0.00273392645441	0.0608747153463	0.255277914388	0.153604857075	0.370308694584	0.155638608243
r	0.000301646221308	0.000815691122897	0.0012572304848	0.0295201717821	0.208802638129	0.244938285692	0.272903564861	0.241460202748
u	0.000214171607103	0.000569306707632	0.0006822661616	0.015918190594	0.174190879376	0.244043428564	0.192992188287	0.371389067583
c	0.000229402535701	0.000756224235877	0.000556404720533	0.007460910198	0.090875559792	0.353001809521	0.174559729429	0.372559689194
h	0.0002346985119	0.000861532745292	0.000514524206844	0.00404016673267	0.047756153264	0.36796726984	0.14305240981	0.435572896398
r	0.000185518703967	0.000495950915097	0.000252862035615	0.00209901224422	0.0236313244213	0.297337089947	0.186541636603	0.489456632133
ò	0.000156053101322	0.00161479563837	0.00171992401187	0.00170663741474	0.0222887481404	0.244179363316	0.389844878868	0.338489877378
n	0.000844199033774	0.00657104521279	0.011397398004	0.00644113913825	0.0390358493801	0.231376121105	0.531994292956	0.172340292459
u	0.00105766967792	0.0069091487376	0.0130483288013	0.00741176004608	0.0328072617934	0.218700707035	0.579781097652	0.14028443082
a	0.00044364379264	0.00258728091253	0.00447666973377	0.00267174934869	0.0115574215978	0.138424902345	0.662805032551	0.17703347694
m	0.000344417497547	0.00201677797084	0.00197315391126	0.00166365544956	0.0060061995326	0.299120967448	0.558842344184	0.130032192313
p	0.000395070165849	0.00176385632361	0.00106515897042	0.00134069014985	0.0042616398442	0.347039855816	0.309424681395	0.334708764104
ì	0.00035927972195	0.0014672424412	0.00146727399014	0.000931495716617	0.00381599661473	0.145834918605	0.418209460465	0.427914254701
</S>	0.000354661360975	0.0017812912206	0.00233910699507	0.000956823858308	0.00486806830736	0.0790571093025	0.633219730232	0.277423127351
