 	non	mangiare	la	sera	</S>
m	0.2752477	0.3673885	0.11142715	0.1106657	0.1352716
i	0.1208152	0.623408833333	0.09987814	0.08726304	0.0686352600333
f	0.0694514966667	0.789034277778	0.0549954033333	0.0468037533333	0.0397153467111
a	0.0429139288889	0.807417759259	0.0654712011111	0.0425365177778	0.0416608489037
i	0.036140242963	0.668932919753	0.235525867037	0.0284910725926	0.0309100496346
o	0.0269404476543	0.392307306584	0.383773955679	0.169350924198	0.0276273832115
v	0.0199787025514	0.194961668861	0.383682985226	0.323791641399	0.0775851944038
r	0.00915855085047	0.0980209896203	0.266017548409	0.377345547133	0.249457398135
à	0.00454089861682	0.0407253598734	0.0965082361363	0.603206182378	0.255019232712
i	0.00838348453894	0.0234179832911	0.0698277453788	0.781350394126	0.117020410904
</S>	0.0143334922695	0.0242955416455	0.0814051226894	0.780545697063	0.099420055452
