 	stava	ancora	cucinando	</S>
ì	0.99526	0.00172718	0.00020940305	0.0028036745
s	0.993355333333	0.00378715333333	0.000226617383333	0.00263109083333
t	0.994574777778	0.00414259041111	0.000293550794444	0.000989022944443
i	0.808576259259	0.18913162277	0.00189595526481	0.000396041781481
g	0.54974208642	0.306304874257	0.0772244750883	0.0667285880605
g	0.381862695473	0.169342658086	0.120597891696	0.328196862687
h	0.220199798491	0.078436619362	0.133570363899	0.567793287562
e	0.13595873283	0.254717573121	0.188724787966	0.420598995854
a	0.0784826609433	0.317340457707	0.448277262655	0.155899765285
n	0.0290407203144	0.130499585902	0.737356087552	0.103103788428
k	0.0114248011048	0.0615513619673	0.526624762517	0.400399262809
ò	0.0165579113683	0.0368036206558	0.216000187506	0.730638420936
r	0.0199183537894	0.0418378735519	0.411913595835	0.526330273645
a	0.00843166626313	0.096696791184	0.703713531945	0.191157857882
m	0.00422820708771	0.0950899170613	0.655069843982	0.245611585961
a	0.00279927522924	0.0363818256871	0.567030281327	0.39378819532
r	0.00101106194308	0.016498255229	0.613800093776	0.36869039844
è	0.00111621131436	0.00753235507633	0.723181031259	0.268170132813
o	0.00182522043812	0.00560951835878	0.827691343753	0.164873677604
n	0.00216615014604	0.00388513611959	0.656332447918	0.337616192535
t	0.00158352671535	0.00228120870653	0.606028149306	0.390107064178
a	0.00058746713845	0.00160286823551	0.628855383102	0.368954354726
</S>	0.000317355919225	0.00120896711776	0.486692191551	0.511781677363
