 	i	bambini	non	si	vestono	da	soli	</S>
t	0.9956945	0.0035635695	0.000347704	1.43794e-05	7.35707e-05	1.2352355e-05	0.0001298114	0.000163868885
a	0.884629833333	0.110087193167	0.003416928	0.000129542233333	0.00162358246667	7.290485e-06	4.76027116667e-05	5.78769816667e-05
p	0.613734944444	0.323971397722	0.0117552193333	0.0149024067444	0.0137859574889	0.00255648589167	0.00870602121556	0.0105874650906
e	0.610579981481	0.292330132574	0.0273218397778	0.0216125089148	0.0189707824963	0.00346392663056	0.0116128401052	0.0141079279302
t	0.589721993827	0.120439810858	0.0583034465926	0.0875191429716	0.0517302574988	0.0253513935435	0.0375598797351	0.0293739822101
ì	0.338584664609	0.166876370286	0.0825737488642	0.154117714324	0.0642125858329	0.0442379311812	0.067941693245	0.08145519407
a	0.22059455487	0.163439177762	0.330885716288	0.105479871441	0.0345289952776	0.0264025193604	0.0444166470483	0.07425251669
e	0.117601214957	0.0580294469207	0.413050905429	0.280600923814	0.0819549650925	0.0089863680868	0.0148550893161	0.02492096123
n	0.041234848319	0.0230913856402	0.168616808476	0.583401974605	0.0982989883642	0.0549731086956	0.0101102874387	0.02027225741
i	0.0154269761063	0.0081666702134	0.0726580761587	0.735094658202	0.0671366961214	0.0730348728985	0.0086815268129	0.0198003058033
n	0.0064798787021	0.00351647840447	0.0407375453862	0.787261886067	0.0607902320405	0.0725437942995	0.00845197327097	0.0202179886011
d	0.00676926623403	0.00215502080149	0.0177606884621	0.525995195356	0.0431986106802	0.0986726980998	0.123252757757	0.1821955962
ì	0.00842928207801	0.0161167516005	0.019565516154	0.368169298452	0.11927210356	0.0756733326999	0.163680085919	0.229093698733
n	0.00774647069267	0.0234236572002	0.0223639720513	0.483781432817	0.276145701187	0.0411013275666	0.062666411973	0.0827709695777
n	0.00525817456422	0.0116096224001	0.0122900683504	0.347059744272	0.233249325729	0.0312126925222	0.127365353991	0.231954893193
o	0.00280142252141	0.00489775380003	0.0063246571168	0.240898848091	0.14945753391	0.0841989308407	0.16549525133	0.345925297731
t	0.00197169084047	0.00178545943334	0.0042960237056	0.266114949364	0.135832611303	0.24167331028	0.0833297837767	0.264996099244
t	0.00104958761349	0.000631082711113	0.00166003056853	0.167907416455	0.0629475137677	0.36093643676	0.0598489612589	0.345019366415
e	0.00078940253783	0.000266040970371	0.00107153485618	0.110196905485	0.0998907145892	0.370305145587	0.044517053753	0.372963788805
m	0.00119557351261	0.00082273265679	0.00133675161873	0.121769635162	0.127783204863	0.436037381862	0.0430936845843	0.267961596268
a	0.0015486045042	0.00101043721893	0.00175517053958	0.0903644117207	0.133108701621	0.474062127287	0.0527349948614	0.245415865423
n	0.00115482783473	0.000558385072977	0.00149054351319	0.0476635039069	0.125888233874	0.538946375762	0.0493815982871	0.234916621808
e	0.000970932611577	0.000399361690992	0.0011527345044	0.0286378146356	0.090360077958	0.546373125254	0.0595909660957	0.272514873936
c	0.00127996787053	0.000435534230331	0.00109763116813	0.0186254515452	0.0754307926527	0.479186708418	0.107542855365	0.316400624645
h	0.00132080595684	0.000473816076777	0.000932598389377	0.0135823038484	0.0465810975509	0.371628902806	0.146763618455	0.418716541548
à	0.00162873531895	0.0114852400256	0.00332521779646	0.0073900412828	0.0778700991836	0.201622967602	0.306603872818	0.390074213849
t	0.00513144510632	0.0184982466752	0.00484206926549	0.0120329670943	0.0993286997279	0.169883989201	0.505852624273	0.184430271283
u	0.00564284236877	0.00964932422507	0.0029772430885	0.0129244790314	0.0783441999093	0.146215529734	0.444717874758	0.299528257094
</S>	0.00326986218439	0.00493782511254	0.00202343654425	0.0075597745157	0.0683415499546	0.108009564867	0.345254437379	0.460603128547
