 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.8116455	0.1453794385	0.0333653068	0.0022062496	0.0010073155	0.006396193
s	0.6551935	0.2807614795	0.0536350022667	0.0028061532	0.00126088283333	0.006342851
o	0.447352166667	0.4977738265	0.0500190007556	0.00181246906667	0.000712736134443	0.00232973632667
s	0.232070422222	0.5681552755	0.163647833585	0.0175127610222	0.00439602623481	0.0142175781022
e	0.120754174074	0.348152625167	0.482390944528	0.0241027803407	0.0059710054116	0.0186282760341
è	0.0533717990247	0.141752891722	0.782415981509	0.0132454867802	0.0025193281372	0.0066945253447
m	0.0181537303416	0.049270950574	0.915546660503	0.0134771289267	0.0012345927124	0.00231712678157
b	0.0072599764472	0.0273299201913	0.734909220168	0.0503442429756	0.147133151237	0.0330237439272
i	0.00471123214907	0.0215703467304	0.357856973389	0.367244414325	0.199810150412	0.0488070146424
à	0.00311858938302	0.0106391069101	0.13521129113	0.755575138108	0.0734803701373	0.0219755905475
t	0.00152291279434	0.00444522030337	0.05358655371	0.876218046036	0.0565174767124	0.0077098461825
t	0.000841007598113	0.00227689676779	0.01987657457	0.616748215345	0.127267958904	0.232989412394
i	0.000594415532704	0.00127465458926	0.00734883819	0.276899938448	0.204184319635	0.509698137465
f	0.000628084177568	0.00116088386309	0.00300038873	0.279447312816	0.300753106545	0.415010712488
i	0.000625245392523	0.00110047562103	0.00132667491	0.234898067605	0.502774368848	0.259275904163
n	0.000907310797508	0.00160108954034	0.00079737397	0.0976017192017	0.675833122949	0.223259968054
è	0.00156942359917	0.00230647651345	0.00195790432333	0.0530745064006	0.76948470765	0.171607322685
s	0.00499831453306	0.0107428888378	0.00483881144111	0.0465264354669	0.83526190255	0.097631980895
t	0.00827270484435	0.0153346062793	0.00919866714704	0.0584129451556	0.626629634183	0.282151866965
r	0.00611541161478	0.00904447875977	0.00821555571568	0.0870990483852	0.459790878061	0.429735288988
a	0.00289376053826	0.00476065291992	0.00317280623856	0.0811011861284	0.38541062602	0.522661429663
</S>	0.00201345026913	0.00298256645996	0.00172023461928	0.0439588480642	0.25152331301	0.697801714831
