 	non	deve	magniare	la	sera	</S>
e	0.4481455	0.5210785	0.006847975	0.00266848	0.00469117	0.0165683539
n	0.19525774	0.745476833333	0.0168444816667	0.0261559433333	0.00912444666667	0.0071406739
è	0.07015693	0.859261277778	0.0215856538889	0.0342737477778	0.0105178455556	0.00420465396667
n	0.0411326533333	0.907705759259	0.0310514446296	0.0135415159259	0.0047766251852	0.00179217132222
a	0.0362144511111	0.660290919753	0.27185764821	0.0282725719753	0.0025626807284	0.000801967774073
f	0.020420537037	0.289334473251	0.479305882737	0.143397990658	0.0218341192428	0.0457068559247
à	0.00807259734567	0.110945124417	0.434660960912	0.234363996886	0.114861239748	0.0970956186416
i	0.00468882411522	0.0491097414723	0.313923320304	0.432457665629	0.126720966583	0.0730991062139
t	0.00343631157174	0.0205568574908	0.168918373435	0.607362888543	0.0627491421943	0.136975935405
o	0.00154313739058	0.00771345283027	0.080880191145	0.532018962848	0.181724647398	0.196119311802
v	0.00119444313019	0.00390765094342	0.0323254570483	0.393243987616	0.362185882466	0.207142770601
r	0.000941161710063	0.00237409031447	0.0252322456828	0.205140629205	0.401697960822	0.364614256867
à	0.000588366103354	0.00137196243816	0.0204205658943	0.073371659735	0.582765653607	0.321481918956
i	0.00308768090112	0.00316222647939	0.0099643092981	0.0327920699117	0.579837884536	0.371155472985
</S>	0.00583302045056	0.0055368182397	0.00952435964905	0.0264590849559	0.377124442268	0.575521736493
