 	non	ho	cosa	a	fare	</S>
e	0.6344495	0.12700115	0.025450965	0.0905283	0.1097934	0.012776509
n	0.408793033333	0.29158605	0.079847655	0.112091433333	0.100220733333	0.00746133566667
è	0.145646921111	0.544491016667	0.128342885	0.0839579444443	0.091816391111	0.00574548022222
c	0.058227817037	0.510443005556	0.322529961667	0.0543680814814	0.0518127103703	0.00261863507407
h	0.0261896510123	0.235612401852	0.643600987222	0.0477660938271	0.0411861701234	0.00564467835802
o	0.0101958156708	0.0934480339507	0.695686995741	0.170472464609	0.0199660433745	0.0102306594527
t	0.00479436355693	0.0363253246502	0.651282665247	0.23523515487	0.0174857344582	0.0548764864842
i	0.00216464951898	0.0163848648834	0.459584355082	0.405266384957	0.0277916781527	0.0888076288281
k	0.00332799650633	0.0245600982945	0.178721218361	0.472565794986	0.156274759384	0.164550009609
à	0.00331087006878	0.0263370570982	0.0820457994537	0.227518564995	0.472717253128	0.18807046987
m	0.00241970125626	0.0118538933661	0.0336676931512	0.199004488332	0.656218417709	0.0968357899567
i	0.00226576208542	0.0070640167887	0.0169241300504	0.167733842777	0.463927239236	0.342085096652
</S>	0.00137037854271	0.00376151189435	0.0086534135252	0.0885894413885	0.281140769618	0.616484548326
