 	ha	che	sono	usciti	</S>
è	0.8141805	0.103351275	0.030618652	0.0177129	0.034136843
n	0.5997715	0.280178758333	0.066195684	0.0196028633333	0.0342513243333
a	0.379495166667	0.537467919444	0.061845728	0.00937164744443	0.0118193397811
g	0.200810522222	0.665345306481	0.0624984093333	0.0507909454815	0.020554501597
u	0.110270140741	0.70542610216	0.0876409031111	0.0703813484938	0.026281477199
ì	0.074429180247	0.56802670072	0.290480401037	0.0536034161646	0.0134604090663
k	0.031500246749	0.293756233573	0.618036467012	0.0500221720549	0.00668475068877
a	0.0137797789163	0.274038744524	0.520514922337	0.123449157352	0.0682171245629
n	0.00825897630543	0.255957281508	0.214956707446	0.366706719117	0.154120374854
e	0.00426475343514	0.118416627169	0.0882594991487	0.419633906372	0.369425124951
</S>	0.00253015871757	0.0730250635845	0.0452711945743	0.315944953186	0.563228062475
