 	Maria	ora	sta	vicino	a	me	ma	sta	dormendo	</S>
e	0.9925425	0.007088725	0.0002259882	8.196655e-05	2.831546e-05	1.2938871e-05	1.6716509e-05	1.09547285e-06	2.861175e-07	1.3363915e-06
M	0.984296166667	0.00705615833333	0.00420684306667	0.00270771151667	0.000682027753333	0.000174800490333	0.000265048336333	6.94753376167e-05	1.20982091667e-05	0.000529424268167
a	0.696301388889	0.0211889194444	0.221785481022	0.0311259505056	0.0123376092511	0.0111936431634	0.00511785411211	0.000217781445872	2.13727030556e-05	0.000709596989389
r	0.410749796296	0.0423517398148	0.398352493674	0.0848391501685	0.025719436417	0.0222153143878	0.0117789513707	0.000676919481957	0.000251965234352	0.0030643912298
ì	0.436205932099	0.120546579938	0.312201497891	0.0819919167228	0.019507622139	0.0150392237959	0.00952871412357	0.000740360493986	0.000339285911451	0.00389947874327
a	0.317393144033	0.411073193313	0.213733499297	0.0398460389076	0.00745309804633	0.0051971172653	0.00352048170786	0.000285228397995	0.00013573613715	0.00136297111442
à	0.111465424678	0.634112731104	0.225154166432	0.0228234463025	0.00276337868211	0.00183494042177	0.00123064183595	9.7035867665e-05	5.363898905e-05	0.000464877634807
r	0.0459066848927	0.605518910368	0.303052055477	0.0381100487675	0.00493942489404	0.00133827447392	0.00088090187865	4.02379242217e-05	5.10910730167e-05	0.000162243974936
t	0.0406972616309	0.500704970123	0.254504018492	0.0697616162558	0.0245179416313	0.00330284482464	0.00433932062622	0.00961017644141	0.0140941168243	0.0784675786916
e	0.0317519325436	0.310646723374	0.283833672831	0.153456472085	0.0553956472104	0.0191266516082	0.00931990687541	0.0131232588138	0.0187766888414	0.104568748231
n	0.0109604355145	0.207061641125	0.422905890944	0.217893157362	0.0583924490701	0.0261743505361	0.00913839895847	0.00515729293793	0.00648308718047	0.035833008077
a	0.00395649363817	0.150159213708	0.409786963648	0.292699719121	0.0749946163567	0.0399211168454	0.00904169631949	0.00339781431264	0.00248417106016	0.013558049359
s	0.00180643034606	0.0747128379027	0.281398987883	0.43625857304	0.121845872119	0.0540768056151	0.0136216654398	0.00533029810421	0.00210724135339	0.00884119311967
t	0.00114434244869	0.0525635126342	0.156806629294	0.343625924347	0.166721290706	0.104943868538	0.0262838884799	0.0352942827014	0.00854303045113	0.104073064373
e	0.000459247382897	0.0269722042114	0.100916009765	0.299162374782	0.203894763569	0.143375289513	0.0325270294933	0.0466236942338	0.00989426015038	0.136174988124
m	0.000609120027632	0.0129752114038	0.0772414699217	0.558898791594	0.16390272119	0.0882721965043	0.0223337231644	0.0202792880779	0.00414102005013	0.051346502708
b	0.000735315342544	0.00840389046793	0.0482877566406	0.478676797198	0.105667307063	0.0828228321681	0.0172559877215	0.0188197193593	0.01091032335	0.228420040903
r	0.000429661780848	0.00923690682264	0.0332715855469	0.170325399066	0.0829413356877	0.0941816107227	0.0318748625738	0.0489064731198	0.0362329077833	0.492599346968
ò	0.00382607526028	0.0164906356075	0.0303576285156	0.117766733022	0.178134745229	0.0716066035742	0.113788954191	0.0510403243733	0.0444113359278	0.372577245656
s	0.0161098584201	0.0243105785358	0.0304372761719	0.186900577674	0.33814324841	0.0618496345247	0.16740398473	0.0227619314578	0.0262398119759	0.125843438552
e	0.01662465294	0.0179138828453	0.0183122053906	0.161561425891	0.380564416137	0.148876911508	0.174594661577	0.0213796671526	0.0124255773253	0.0477468395173
m	0.0113276844467	0.0090653676151	0.0119906817969	0.0870348419637	0.333114138712	0.188558937169	0.223662887192	0.0811786557175	0.0140049324418	0.0400618131724
è	0.0130204948156	0.00859692920503	0.011849920599	0.0741883473212	0.341413712904	0.099766745723	0.267852295731	0.108617451906	0.0182599774806	0.0564341710575
n	0.00940975827187	0.00601127973501	0.00749618019967	0.0500949824404	0.325487570968	0.082684715241	0.386550765244	0.0712778506353	0.0163693924935	0.0446178936858
a	0.00474589613729	0.00261583847834	0.00325784639989	0.0235111341468	0.188319823656	0.189553571747	0.464553588415	0.0925687502118	0.0124930174978	0.0183808112286
m	0.00430527542576	0.00189422472611	0.00254580846663	0.0106366880489	0.0893897412187	0.200381457249	0.349208529472	0.285608250071	0.0188316258326	0.0371986470762
a	0.00416047097525	0.0016530183087	0.00229925015554	0.00599909068297	0.0450868870729	0.166356419083	0.219969843157	0.44712041669	0.0223528419442	0.0850017490254
s	0.00156342549175	0.0007334655029	0.000980313718513	0.00241466356099	0.019902775691	0.146543139694	0.146537447719	0.509048138897	0.0293989473147	0.142877249675
t	0.000715696830583	0.000549657167633	0.000741870906171	0.001545273187	0.0122914652303	0.0588368465647	0.0851767159063	0.457690712966	0.0438400157716	0.338611416558
e	0.000264274243528	0.000333561455878	0.00060987063539	0.001081357729	0.00884799507677	0.0407610821882	0.0610407386354	0.432321904322	0.0365617719239	0.418177138853
p	0.000329341047843	0.000436252218626	0.000482408211797	0.000794555909667	0.00510741169226	0.0374519940627	0.0542301795451	0.517168968107	0.0709706239746	0.313027712951
l	0.000356817549281	0.000477106306209	0.000461298737266	0.000706045636556	0.00415533389742	0.0239772646876	0.0345550931817	0.353314756036	0.0857169079915	0.496278904317
ò	0.00506566304976	0.000825062335403	0.00113803791242	0.000941752212185	0.00415143463247	0.0185518548959	0.0385272977272	0.209273018679	0.180798669331	0.540727301439
n	0.0135712210166	0.00287112744513	0.00266670597081	0.00204711740406	0.00593557487749	0.020373651632	0.0711264992424	0.252406006226	0.370713889777	0.258288333813
n	0.0117308913389	0.00308307681504	0.0023591993236	0.00193734746802	0.00528955162583	0.0156987758773	0.0611695330808	0.214157102075	0.338296296592	0.346278011271
i	0.00417726551297	0.00123062187168	0.000951690107867	0.00085130348934	0.00244424054194	0.0118386839591	0.0287820776936	0.123009700692	0.230733432197	0.595981003757
</S>	0.00209635885649	0.00066096383584	0.000618259553933	0.00055993574467	0.00172546027097	0.0156204919796	0.0230648388468	0.094773200346	0.222895216098	0.637985501879
