 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
t	0.9847735	0.01245263	0.00241818	2.6431805e-05	1.442845e-05	6.067795e-05	9.982895e-06	9.8048325e-05	0.0001457222
a	0.891960166667	0.0926806766667	0.0138848933333	0.000294981571667	3.42987166667e-05	0.00105326855	5.73174166667e-06	3.5114173e-05	5.04826566667e-05
p	0.654881388889	0.284650558889	0.0284442311111	0.00417951419056	0.00518944233889	0.00898392951667	0.00129957629389	0.00552091890567	0.00685035934222
e	0.632578462963	0.270119952963	0.052477977037	0.00715312473019	0.00728673077963	0.0121449798389	0.00176176919796	0.00735649243522	0.00912059511407
d	0.544439154321	0.113153450988	0.124784025679	0.0378220615767	0.0673437935932	0.046302796613	0.0237593134993	0.0200621502784	0.0223332737047
ì	0.29256905144	0.166285850329	0.229317341893	0.0498773538589	0.0971725311977	0.057697478871	0.0337149044998	0.0298778167595	0.0434876579016
a	0.17541165048	0.16454065081	0.513876447298	0.0213127746196	0.0427348340659	0.021421172957	0.0138945693433	0.0155485037632	0.0312594935005
m	0.0784953168267	0.09975925097	0.649362149099	0.0333207815399	0.0731236683553	0.0268247576523	0.00830865762443	0.0159439327644	0.0148617720335
i	0.0435524389422	0.0781844196567	0.6313660497	0.07578212718	0.100712489452	0.0366152525508	0.00748369254148	0.0162442482548	0.0100594173445
n	0.0202402996474	0.0266553258856	0.5203283499	0.09683280906	0.241950429817	0.0492150508503	0.0236679708472	0.00735710341827	0.0137527324482
c	0.0189088532158	0.00969221762853	0.236167616633	0.07599400302	0.345367809939	0.0661215502834	0.0880402569491	0.0235646511394	0.136143144149
i	0.0190135410719	0.00416880154284	0.141416705544	0.06209053434	0.30668026998	0.0673448500945	0.11509168565	0.0429337503798	0.241259714716
à	0.0107460536906	0.216794070514	0.108704335181	0.0624091781133	0.283365423327	0.0597891833648	0.0661763152167	0.0327726234599	0.159242738239
e	0.00739346789687	0.325934023505	0.057581511727	0.0514616593711	0.286964474442	0.170822294455	0.0266773450722	0.0140006211533	0.0591646527463
n	0.00498329929896	0.153138974502	0.0271466905757	0.0358940197904	0.454499491481	0.198424164818	0.0506115350241	0.0385510137178	0.0367509575821
i	0.00216996676632	0.056625031834	0.0105172035252	0.0857686399301	0.558459163827	0.128242454939	0.0802352783414	0.0467086652393	0.0312736025274
n	0.00103966925544	0.0191273089447	0.00464839884173	0.105159746643	0.614691054609	0.10617328498	0.10647419278	0.0188840690798	0.0238022841758
d	0.00094081641848	0.00671729798157	0.00275242061391	0.044649118881	0.459822818203	0.0438056249933	0.121356330927	0.10782287636	0.212133061392
ì	0.00170878880616	0.0143751696605	0.0027987868713	0.0956213762937	0.236287406068	0.122999271664	0.101084976976	0.14667469212	0.278449720464
n	0.00400325960205	0.0208712565535	0.00371315229043	0.134969292098	0.284636802023	0.297682090555	0.0827328256587	0.0627898173733	0.108601396821
n	0.00374511216735	0.0115992955178	0.00309198213014	0.0698929846993	0.224652500674	0.250687734185	0.0537448418862	0.147953792458	0.23463158894
u	0.00159686635578	0.00449001283927	0.00159186541005	0.0471030822331	0.124256733558	0.141035948728	0.0929769472954	0.209118597486	0.37782986298
t	0.000897784118593	0.00156245611309	0.00109918293668	0.0395417227444	0.106222511186	0.109393616243	0.280792315765	0.123828732495	0.336661620993
t	0.000553767706198	0.00053920347103	0.000511855778893	0.0155863695815	0.060740937062	0.0433596954143	0.370784438588	0.0855967774983	0.422326873664
e	0.000450944568733	0.000205419390343	0.000392991592964	0.00986629652717	0.0424592456873	0.0534634218048	0.411037812863	0.0592934591661	0.422829957888
m	0.000670675856244	0.000536724096781	0.000492213530988	0.00702098550906	0.0529821152291	0.0645881739349	0.524805937621	0.063445019722	0.285457319296
a	0.000949892952081	0.000666966698927	0.000809788176996	0.00602987516969	0.044649171743	0.073486424645	0.490838645874	0.0928583399073	0.289710439765
n	0.00076378231736	0.000370018899642	0.000745902392332	0.00489093172323	0.024806890581	0.0719155748817	0.472614548625	0.102909113302	0.320983146588
i	0.00066248743912	0.000263066933214	0.000598312464111	0.00302324724108	0.0161892001937	0.0504597582939	0.434459182875	0.121716704434	0.372628048863
c	0.000879745479707	0.000297788277738	0.000613310488037	0.00235776241369	0.0111432367312	0.0413495594313	0.341024060958	0.188770901478	0.413563682954
h	0.000912230826569	0.000338145092579	0.000528651496012	0.0016551241379	0.00851471557707	0.0253661264771	0.256645020319	0.224771967159	0.481268227651
ò	0.00110761594219	0.0103611173642	0.000799764165337	0.0024744213793	0.00434027852569	0.0372244088257	0.131622040106	0.38915165572	0.422919075884
t	0.00328504198073	0.0180583057881	0.00145352472178	0.00321060712643	0.00608349617523	0.0444368696086	0.0822674133687	0.62188288524	0.219322025295
t	0.00339823386024	0.0105688209294	0.00121175213726	0.00207386834214	0.00650183539174	0.0264978275362	0.0578465211229	0.590227628413	0.301673675098
o	0.00132414215341	0.00370009964313	0.000603965275753	0.00109980874738	0.00335187179725	0.0197154468454	0.0388938237076	0.401745876138	0.529565225033
</S>	0.000926542576705	0.00191486032156	0.000599963637877	0.00115559437369	0.00283547089863	0.0261248734227	0.0445593618538	0.295709938069	0.626173612517
