 	se	vieni	a	casa	mia	ogni	sabato	compra	pane	di	portare	</S>
a	0.614207	0.2054181	0.1423821	0.028669305	0.003372645	0.0007152175	0.001378196	0.00019208	2.053067e-05	0.000156446	0.0005149037	0.00297355515
n	0.394798266667	0.207273366667	0.147811766667	0.120649038333	0.0482769316667	0.0078889925	0.058572322	0.005550736	2.16701366667e-05	0.001852062	0.00300283936667	0.00430200848333
è	0.137565096222	0.0753299655557	0.442629255556	0.175726179444	0.0631642038889	0.00998383383333	0.077398884	0.007264796	1.98166180889e-05	0.00237171873	0.00380267518222	0.00474362429444
r	0.076199606074	0.161520165185	0.582281085185	0.107847326481	0.034376427963	0.00486189427778	0.026544178	0.00250760833333	1.08272118963e-05	0.000805649073333	0.00134189112074	0.00170325856481
t	0.0560447486913	0.194785355062	0.417988695062	0.154049208827	0.068626609321	0.0212996780926	0.0492578326667	0.00788169511111	0.000120580603965	0.00106590112444	0.00972140437358	0.0191581118549
i	0.0204321762304	0.0982259850207	0.493912231687	0.181234736276	0.0740682697737	0.0273907460309	0.0564908386222	0.00963583203704	0.000158400467988	0.00115025617481	0.0124420387979	0.0248582019673
n	0.0100872954101	0.0771739283402	0.647180410562	0.143561245425	0.0574605899246	0.019989968677	0.0236011739407	0.00502593434568	0.000190404089329	0.000859091191603	0.00437249860597	0.0104971986714
è	0.00524001540337	0.0420421871134	0.722290136854	0.142058748475	0.0478738366415	0.015625957559	0.0130161646469	0.00345698708189	0.000195797556776	0.000755776230534	0.00169490603532	0.0057496432238
s	0.0105971987345	0.0350356067045	0.722657045618	0.150826582825	0.0540311522138	0.0124171205197	0.0096714948823	0.00144146499396	9.93310459253e-05	0.000358387576845	0.000696743511773	0.00216847840793
s	0.0134386995782	0.0413972022348	0.512609348539	0.176151860942	0.109691384071	0.0464061735066	0.0677544982941	0.00472813866465	0.00202743634864	0.00287794552562	0.00775509783726	0.015162813136
u	0.00690015319273	0.0368365340783	0.30041111618	0.275770620314	0.180118128024	0.0743577578355	0.0833451227647	0.00611141288822	0.00279426411621	0.00406284184187	0.0100003062791	0.019292089612
m	0.00401928439758	0.0294326513594	0.260834705393	0.312488540105	0.226387042675	0.0850886192785	0.0480108642549	0.0103966042961	0.00153427337207	0.00342831061396	0.00433998909303	0.0140393484373
u	0.00229632813253	0.0206380904531	0.208743235131	0.224551180035	0.356380014225	0.114530206426	0.0365615147516	0.013269191432	0.00174994112402	0.00435874353799	0.00262084403101	0.0143009928124
