 	non	aveva	dove	a	stare	</S>
e	0.8617585	0.1060696	0.01123282	0.008263045	0.0017548375	0.0109215445
n	0.578725866667	0.305713866667	0.07889242	0.0277264816667	0.00202099416667	0.0069204645
ì	0.200406995889	0.661549288889	0.101174311	0.0292133398889	0.00206761787889	0.0055880225
c	0.075558138963	0.864676762963	0.0456998413333	0.0111136126296	0.00074748144963	0.0022037915
h	0.0338443416543	0.919092587654	0.0392832804444	0.00572679420987	0.00041464648321	0.0016381735
e	0.0142546292181	0.629914929218	0.332462193481	0.0204852014033	0.00082116916107	0.00206199116667
p	0.00766621640603	0.221331009739	0.619678064494	0.0938973671344	0.0384246597204	0.0190030237222
u	0.00286821313534	0.081211001913	0.424614088165	0.412837789045	0.0538631865735	0.0246060579074
s	0.00189780204511	0.0305451726377	0.200903429388	0.606284596348	0.135187028858	0.0251822026358
t	0.00144397101504	0.0133917195459	0.113519609796	0.372319765449	0.446740342953	0.0525846675453
a	0.00151641733835	0.00596556184863	0.045859769932	0.270713488483	0.589512780984	0.0864314891818
t	0.00238697244612	0.0213515872829	0.031170056644	0.248241362828	0.597320593661	0.0995286630606
ì	0.00169779638204	0.0258438890943	0.0244319688813	0.115054420943	0.458183064554	0.374788387687
</S>	0.00087480654102	0.0141530845472	0.0164488594406	0.0680233604715	0.245495332277	0.655004193844
