 	sono	vestita	</S>
ì	0.5457675	0.2698705	0.1843616
m	0.344656833333	0.473360833333	0.181981966667
e	0.523778611111	0.406033077778	0.0701883455557
n	0.53175887037	0.343934159259	0.124307038519
d	0.24157255679	0.418080719753	0.340346679506
i	0.107852585597	0.350584239918	0.541563226502
m	0.060926295199	0.423328413306	0.515745408834
è	0.0319222930663	0.639472471102	0.328605136278
n	0.0374665923554	0.729714157034	0.232819378759
i	0.0390920254518	0.493210285678	0.467698126253
</S>	0.0196678547259	0.269554992839	0.710777563126
